Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),mScarlet (EX),mScarlet (EM),mCherry (EX),mCherry (EM),tdTomato (EX),tdTomato (EM)
355,0.057,0.0,0.9966,0.0,0.0685,0.0,0.0378,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.052000000000000005,0.0,0.108557,0.0,0.09898480000000001,0.0,0.0576923,0.0
356,0.0555,0.0,0.9932,0.0,0.071,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.053,0.0,0.10600300000000001,0.0,0.0964467,0.0,0.055429900000000004,0.0
357,0.0543,0.0,0.9905,0.0,0.07400000000000001,0.0,0.0331,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.053,0.0,0.103448,0.0,0.0926396,0.0,0.054298599999999995,0.0
358,0.0543,0.0,0.9884,0.0,0.0759,0.0,0.0305,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.055,0.0,0.102171,0.0,0.0901015,0.0,0.0520362,0.0
359,0.0536,0.0,0.9864,0.0,0.0778,0.0,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.054000000000000006,0.0,0.0996169,0.0,0.08883250000000001,0.0,0.048642500000000005,0.0
360,0.0526,0.0,0.9835,0.0,0.0785,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.054000000000000006,0.0,0.09833969999999999,0.0,0.08756349999999999,0.0,0.048642500000000005,0.0
361,0.051,0.0,0.9797,0.0,0.08199999999999999,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.055,0.0,0.0945083,0.0,0.0850254,0.0,0.046380099999999994,0.0
362,0.0495,0.0,0.9759,0.0,0.0828,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.0,0.0,0.0,0.055999999999999994,0.0,0.0932312,0.0,0.0837563,0.0,0.0441176,0.0
363,0.0481,0.0,0.972,0.0,0.0852,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.055,0.0,0.09067689999999999,0.0,0.0837563,0.0,0.0429864,0.0
364,0.0467,0.0,0.9681,0.0,0.0894,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.054000000000000006,0.0,0.08684549999999999,0.0,0.0824873,0.0,0.041855199999999995,0.0
365,0.0453,0.0,0.9639,0.0,0.092,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.057,0.0,0.08684549999999999,0.0,0.08121830000000001,0.0,0.039592800000000004,0.0
366,0.044000000000000004,0.0,0.9597,0.0,0.095,0.0,0.0183,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.057,0.0,0.08684549999999999,0.0,0.08121830000000001,0.0,0.0384615,0.0
367,0.0439,0.0,0.9554,0.0,0.0994,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.057,0.0,0.08301399999999999,0.0,0.08121830000000001,0.0,0.037330300000000004,0.0
368,0.0422,0.0,0.9471,0.0,0.10099999999999999,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.057,0.0,0.0791826,0.0,0.08121830000000001,0.0,0.0339367,0.0
369,0.0406,0.0,0.9299,0.0,0.1063,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.057,0.0,0.0791826,0.0,0.0799492,0.0,0.0339367,0.0
