wl,abs (10460/MeOH),wl,em (10460/MeOH))
478,4.77E-02,628,73.25357
479,4.77E-02,629,72.32692
480,4.77E-02,630,71.6773
481,4.77E-02,631,70.86423
482,4.77E-02,632,69.93001
483,2.38E-02,633,69.14507
484,4.77E-02,634,68.37862
485,4.77E-02,635,67.56974
486,2.38E-02,636,66.62051
487,2.38E-02,637,65.63359
488,2.38E-02,638,64.83344
489,2.38E-02,639,64.15768
490,2.38E-02,640,63.41505
491,0,641,62.68596
492,0,642,61.82376
493,-2.38E-02,643,61.04596
494,0,644,59.49341
495,0,645,59.09795
496,2.38E-02,646,57.84385
497,0,647,57.22332
498,0,648,56.48489
499,0,649,55.77574
500,0,650,54.37038
,,651,53.91245
,,652,53.07324
,,653,52.60125
,,654,51.43618
,,655,50.91789
,,656,49.98766
,,657,49.66779
,,658,48.87341
,,659,48.29329
,,660,47.42163
,,661,46.05952
,,662,45.32203
,,663,44.94358
,,664,44.46455
,,665,43.51795
,,666,43.16238
,,667,42.24412
,,668,41.52542
,,669,40.4203
,,670,39.9987
,,671,39.33869
,,672,38.62378
,,673,38.12323
,,674,37.57019
,,675,36.56091
,,676,35.15009
,,677,34.90348
,,678,34.43874
,,679,34.14322
,,680,32.94109
,,681,32.34575
,,682,31.70663
,,683,31.13764
,,684,30.36267
,,685,30.14663
,,686,29.69154
,,687,28.47965
,,688,28.22496
,,689,26.97475
,,690,26.47085
,,691,26.01177
,,692,25.4537
,,693,24.98181
,,694,24.21336
,,695,23.84813
,,696,24.0898
,,697,23.34538
,,698,23.38958
,,699,22.81408
,,700,22.42995
,,701,21.73793
,,702,21.64964
,,703,20.90102
,,704,20.50378
,,705,20.19787
,,706,19.87505
,,707,19.49208
,,708,19.75674
,,709,19.00088
,,710,18.76772
,,711,18.45499
,,712,18.10603
,,713,17.55919
,,714,17.74269
,,715,16.75693
,,716,17.08248
,,717,16.03204
,,718,15.69989
,,719,15.74786
,,720,15.28018
,,721,15.18727
,,722,14.60914
,,723,14.53587
,,724,14.28937
,,725,13.99679
,,726,14.04435
,,727,13.51987
,,728,13.31358
,,729,13.07192
,,730,12.63657
,,731,12.44645
,,732,12.18694
,,733,12.06044
,,734,11.49071
,,735,11.62519
,,736,11.16254
,,737,10.5567
,,738,10.73191
,,739,10.66913
,,740,10.47523
,,741,10.1266
,,742,10.22496
,,743,9.898159
,,744,9.672242
,,745,9.194477
,,746,9.360451
,,747,8.896228
,,748,8.894129
,,749,8.723745
,,750,8.41332
,,751,8.349597
,,752,8.333535
,,753,7.768951
,,754,7.919282
,,755,7.391128
,,756,7.652423
,,757,7.101488
,,758,7.119964
,,759,7.257803
,,760,6.590339
,,761,6.400115
,,762,6.442107
,,763,6.283482
,,764,6.615115
,,765,6.181441
,,766,6.18753
,,767,6.289676
,,768,5.721838
,,769,5.832802
,,770,5.778213
Data Copyright MP Inc.
