wl,ex,wl,em
,,543,1.451825387
,,544,1.428903738
,,545,1.409794096
,,546,1.381806697
,,547,1.335607371
,,548,1.322229466
,,549,1.267366231
,,550,1.255211966
,,551,1.23746359
,,552,1.20175043
,,553,1.188126558
,,554,1.165320827
,,555,1.159436167
,,556,1.120343503
,,557,1.106171908
,,558,1.071969274
,,559,1.048807405
,,560,1.061500866
,,561,1.073832282
,,562,1.043153442
,,563,1.028714842
,,564,1.018416416
,,565,1.005520116
,,566,0.988481529
,,567,0.968161679
,,568,0.956551534
,,569,0.943199162
,,570,0.91893464
,,571,0.887431513
,,572,0.869687283
,,573,0.852820552
,,574,0.872081386
,,575,0.866536546
,,576,0.830037498
,,577,0.834587993
,,578,0.816124836
,,579,0.796628615
,,580,0.768109825
,,581,0.767494459
,,582,0.763459937
,,583,0.756597357
,,584,0.724908171
,,585,0.685521149
,,586,0.674676789
,,587,0.681259191
,,588,0.634394271
,,589,0.649510167
,,590,0.639934598
,,591,0.608728942
,,592,0.612509947
,,593,0.572143306
,,594,0.561793889
,,595,0.556568022
,,596,0.546111928
,,597,0.525962676
,,598,0.52958454
,,599,0.514120628
,,600,0.529351156
