wl,abs,wl,em
398,2.799824,623,0.82614
399,2.689594,624,0.78163
400,2.469136,625,0.73593
401,2.336861,626,0.69804
402,2.270723,627,0.67196
403,2.138448,628,0.64834
404,2.07231,629,0.62199
405,2.006173,630,0.58889
406,1.873898,631,0.55826
407,1.851852,632,0.53393
408,1.829806,633,0.51593
409,1.80776,634,0.49634
410,1.829806,635,0.46845
411,1.851852,636,0.43773
412,1.851852,637,0.40535
413,1.917989,638,0.37961
414,1.962081,639,0.35639
415,2.006173,640,0.33714
416,2.050265,641,0.31624
417,2.094356,642,0.29226
418,2.160494,643,0.26506
419,2.248677,644,0.23445
420,2.314815,645,0.1987
421,2.402998,646,0.15943
422,2.513227,647,0.11811
423,2.601411,648,0.079323
424,2.733686,649,0.041689
425,2.843915
426,2.954144
427,3.152557
428,3.306878
429,3.439153
430,3.703704
431,3.946208
432,4.166667
433,4.409171
434,4.673721
435,4.938272
436,5.291005
437,5.555555
438,5.864197
439,6.238977
440,6.547619
441,6.856261
442,7.253087
443,7.583775
444,7.914462
445,8.443563
446,8.862433
447,9.281305
448,9.810406
449,10.25132
450,10.69224
451,11.30952
452,11.83862
453,12.36772
454,13.09524
455,13.69048
456,14.32981
457,15.18959
458,15.91711
459,16.73281
460,17.8351
461,18.78307
462,19.79718
463,21.20811
464,22.37654
465,23.63316
466,25.35273
467,26.74162
468,28.13051
469,29.85009
470,31.15079
471,32.40741
472,33.97266
473,35.097
474,36.24339
475,37.61023
476,38.5582
477,39.52822
478,40.63051
479,41.44621
480,42.32804
481,43.54057
482,44.57672
483,45.83333
484,47.68518
485,49.20635
486,50.94797
487,53.28483
488,55.18077
489,57.23104
490,59.87654
491,61.99294
492,64.44003
493,67.76896
494,70.59083
495,73.96384
496,78.7037
497,82.58377
498,86.86067
499,92.04144
500,95.4806
501,98.30247
502,100
503,99.51499
504,97.08995
505,91.38007
506,85.1411
507,77.18254
508,66.26984
509,57.64991
510,48.72134
511,38.58025
512,31.76808
513,25.5291
514,19.33422
515,15.60847
516,12.43386
517,9.501763
518,7.782187
519,6.305115
520,4.938272
521,4.166667
522,3.483245
523,2.821869
524,2.425044
525,2.050265
526,1.719577
527,1.521164
528,1.322751
529,1.124339
530,0.9920635
531,0.8818343
532,0.771605
533,0.7275132
534,0.6834216
535,0.6172839
536,0.5511464
537,0.5070547
538,0.4850088
539,0.462963
540,0.4188713
541,0.3747796
542,0.3527337
543,0.3527337
544,0.3527337
545,0.3306878
546,0.3306878
547,0.3527337
548,0.3527337
549,0.3306878
550,0.308642
551,0.2865961
552,0.2865961
553,0.2865961
554,0.2645503
555,0.2425044
556,0.2425044
557,0.2425044
558,0.2425044
559,0.2425044
560,0.2425044
561,0.2425044
562,0.2425044
563,0.2204586
564,0.2425044
565,0.2204586
566,0.1984127
567,0.1984127
568,0.1984127
569,0.1763668
570,0.154321
571,0.1763668
572,0.1763668
573,0.1763668
574,0.1763668
575,0.154321
576,0.154321
577,0.154321
578,0.1763668
579,0.154321
580,0.154321
581,0.154321
582,0.1763668
583,0.1763668
584,0.154321
585,0.154321
586,0.154321
587,0.154321
588,0.154321
589,0.1322751
590,0.1322751
591,0.154321
592,0.1763668
593,0.1763668
594,0.154321
595,0.154321
596,0.154321
597,0.154321
598,0.154321
599,0.154321
600,0.154321
Data Copyright MP Inc.
