Wavelength,mCherry (EX),mCherry (EM),mOrange (EX),mOrange (EM),DsRed2 (EX),DsRed2 (EM),iRFP713 (EX),iRFP713 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),tdTomato (EX),tdTomato (EM),iRFP720 (EX),iRFP720 (EM),mScarlet (EX),mScarlet (EM)
418,0.0035,,0.0052,,0.0311,,,,0.0059,0.9171,0.7346,,0.0062,,,,0.0053,,0.0241,,,,0.0159,
419,0.0032,,0.0056,,0.0329,,,,0.006,0.9336,0.7541,,0.0063,,,,0.0053,,0.0253,,,,0.0161,
420,0.003,,0.0059,,0.0336,,,,0.0062,0.9484,0.7724,,0.0066,,,,0.0055,,0.0265,,,,0.0163,
421,0.0028,,0.0063,,0.0337,,,,0.0065,0.9624,0.7933,,0.0066,,,,0.0054,,0.0277,,,,0.0164,
422,0.0028,,0.0067,,0.0336,,,,0.0073,0.9763,0.8134,,0.0072,,,,0.0055,,0.029,,,,0.0167,
423,0.0028,,0.0071,,0.035,,,,,0.9874,0.834,,0.0074,,,,0.0057,,0.0305,,,,0.0169,
424,0.0029,,0.0075,,0.0363,,,,,0.9937,0.8553,,0.0078,,,,0.0057,,0.0321,,,,0.0171,
425,0.0029,,0.0079,,0.0362,,,,,1,0.876,,0.0085,,,,0.0059,,0.0335,,,,0.0174,
426,0.003,,0.0085,,0.0365,,,,,0.9987,0.8957,,0.0088,,,,0.0063,,0.035,,,,0.0177,
427,0.0032,,0.009,,0.0379,,,,,0.9966,0.9156,,0.0089,,,,0.0063,,0.0368,,,,0.018,
428,0.0032,,0.0095,,0.0389,,,,,0.9944,0.9333,,0.0098,,,,0.0065,,0.0387,,,,0.0183,
429,0.0033,,0.0101,,0.0388,,,,,0.9922,0.9491,,0.0101,,,,0.0068,,0.0403,,,,0.0186,
430,0.0037,,0.0107,,0.0397,,,,,0.9903,0.9647,,0.0107,,,,0.0072,,0.0422,,,,0.019,
431,0.0039,,0.0115,,0.0412,,,,,0.989,0.9764,,0.0107,,,,0.0074,,0.044,,,,0.0194,
432,0.0038,,0.0122,,0.0426,,,,,0.9877,0.9865,,0.012,,,,0.0076,,0.0462,,,,0.0198,
433,0.0042,,0.0129,,0.0441,,,,,0.9863,0.9937,0.0036,0.0126,,,,0.0081,,0.0486,,,,0.0203,
434,0.0046,,0.0137,,0.0456,,,,,0.985,0.9981,0.0037,0.0134,,,,0.0083,,0.0505,,,,0.0208,
435,0.0049,,0.0147,,0.0483,,,,,0.9832,1,0.0044,0.014,,,,0.0083,,0.0529,,,,0.0213,
436,0.0051,,0.0157,,0.0497,,,,,0.9814,0.9997,0.0056,0.0154,,,,0.0086,,0.0555,,,,0.0218,
437,0.0053,,0.0165,,0.0517,,,,,0.9795,0.9968,0.0042,0.0162,,,,0.0093,,0.0579,,,,0.0224,
438,0.0058,,0.0177,,0.0545,,,,,0.9777,0.9936,0.0049,0.0174,,,,0.0099,,0.061,,,,0.023,
439,0.006,,0.0187,,0.0564,,,,,0.9727,0.9895,0.0051,0.0186,,,,0.0102,,0.0631,,,,0.0237,
440,0.0064,,0.0199,,0.0589,,,,,0.9669,0.9838,0.0065,0.019,,,,0.0105,,0.0663,,,,0.0244,
441,0.0067,,0.0211,,0.0618,,,,,0.9616,0.9785,0.0065,0.0199,,,,0.0115,,0.0693,,,,0.0251,
442,0.0071,,0.0227,,0.0646,,,,,0.9563,0.9732,0.0079,0.0207,,,,0.0116,,0.0722,,,,0.0259,
443,0.0075,,0.0239,,0.0675,,,,,0.9509,0.9683,0.0093,0.0228,,,,0.0121,,0.0752,,,,0.0267,
444,0.008,,0.0255,,0.0704,,,,,0.9456,0.9649,0.0111,0.024,,,,0.0127,,0.0784,,,,0.0275,
445,0.0085,,0.0269,,0.0731,,,,,0.9403,0.9616,0.013,0.0255,,,,0.0134,,0.0817,,,,0.0284,
446,0.0089,,0.0284,,0.076,,,,,0.9296,0.96,0.0159,0.0272,,,,0.0141,,0.0855,,,,0.0294,
447,0.0097,,0.0302,,0.0785,,,,,0.9176,0.9594,0.0188,0.0282,,,,0.0145,,0.089,,,,0.0304,
448,0.0101,,0.0319,,0.0804,,,,,0.9056,0.9598,0.023,0.0298,,,,0.0154,,0.0923,,,,0.0314,
449,0.0109,,0.0339,,0.0833,,,,,0.8928,0.9603,0.0294,0.0314,,,,0.0161,,0.0961,,,,0.0325,
450,0.0115,,0.0351,,0.0863,,,,,0.8794,0.9617,0.035,0.0335,,0.0119,,0.0165,,0.0984,,,,0.0336,
451,0.0122,,0.0371,,0.089,,,,,0.8659,0.962,0.0433,0.0345,,0.0127,,0.0178,,0.1023,,,,0.0348,
452,0.013,,0.0392,,0.0919,,,,,0.8519,0.9619,0.0539,0.0362,,0.0132,,0.0182,,0.106,,,,0.036,
453,0.0139,,0.0411,,0.0948,,,,,0.8358,0.96,0.0663,0.0382,,0.0138,,0.0204,,0.1094,,,,0.0373,
454,0.0147,,0.0437,,0.0992,,,,,0.8198,0.9565,0.0817,0.0403,,0.0147,,0.0209,,0.1137,,,,0.0386,
455,0.0157,,0.0459,,0.1033,,,,,0.8031,0.9494,0.1014,0.0428,,0.0158,,0.0218,,0.1171,,,,0.04,
456,0.0163,,0.0486,,0.1076,,,,,0.7837,0.9402,0.1241,0.0449,,0.0165,,0.0227,,0.121,,,,0.0415,
457,0.0175,,0.0511,,0.1114,,,,,0.7644,0.926,0.1495,0.0463,,0.0176,,0.0241,,0.1248,,,,0.043,
458,0.0182,,0.0538,,0.1151,,,,,0.7457,0.908,0.1793,0.0494,,0.0189,,0.0252,,0.1281,,,,0.0446,
459,0.0198,,0.0565,,0.1194,,,,,0.7272,0.8851,0.2144,0.0522,,0.0199,,0.0265,,0.1323,,,,0.0463,
460,0.0206,,0.06,,0.1226,,,,,0.7088,0.8573,0.259,0.0545,,0.021,,0.0284,,0.1367,,,,0.048,
461,0.0222,,0.0633,,0.1264,,,,,0.687,0.8248,0.3049,0.0569,,0.0222,,0.0294,,0.1407,,,,0.0498,
462,0.0231,,0.0667,,0.1321,,,,,0.6651,0.7884,0.3587,0.0601,,0.0231,,0.03,,0.1451,,,,0.0516,
463,0.0246,,0.0698,,0.1363,,,,,0.645,0.747,0.4174,0.0641,,0.0246,,0.0321,,0.1487,,,,0.0536,
464,0.0254,,0.0738,,0.1392,,,,,0.6249,0.7027,0.4752,0.0684,,0.0254,,0.0338,,0.1531,,,,0.0556,
465,0.0275,,0.0787,,0.1437,,,,,0.608,0.6558,0.5366,0.0731,,0.0276,,0.0366,,0.1587,,,,0.0577,
466,0.0289,,0.0835,,0.1482,,,,,0.5912,0.6083,0.6004,0.0767,,0.0287,,0.0377,,0.1644,,,,0.0598,
467,0.0299,,0.0875,,0.152,,,,,0.5744,0.5595,0.6654,0.0792,,0.0297,,0.04,,0.1685,,,,0.062,
468,0.031,,0.091,,0.1566,,,,,0.5573,0.5119,0.7305,0.084,,0.0309,,0.042,,0.1724,,,,0.0643,
469,0.0328,,0.0961,,0.1601,,,,,0.5401,0.4655,0.7849,0.0877,,0.0321,,0.0439,,0.1778,,,,0.0667,
470,0.0341,,0.1018,,0.1625,,,,,0.5237,0.4212,0.8414,0.0914,,0.0341,,0.0462,,0.1843,,,,0.0692,
