Wavelength,mCherry (EX),mCherry (EM),mOrange (EX),mOrange (EM),DsRed2 (EX),DsRed2 (EM),iRFP713 (EX),iRFP713 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),tdTomato (EX),tdTomato (EM),iRFP720 (EX),iRFP720 (EM),mScarlet (EX),mScarlet (EM)
670,,0.3502,,0.0572,,0.0554,0.853,0.0679,,,0.0019,0.014,,0.0081,,0.8323,,0.1681,,0.1634,0.6835,0.0542,,0.2351
671,,0.3396,,0.0557,,0.0536,0.8652,0.0729,,,0.002,0.0144,,0.0078,,0.8152,,0.1613,,0.1598,0.6933,0.0579,,0.2291
672,,0.3364,,0.0535,,0.0517,0.8766,0.0784,,,0.0024,0.0136,,0.0075,,0.8097,,0.1596,,0.1531,0.703,0.0618,,0.2233
673,,0.3293,,0.0525,,0.0499,0.8873,0.0842,,,0.0028,0.0147,,0.007,,0.7987,,0.1531,,0.1501,0.713,0.0659,,0.2177
674,,0.3201,,0.051,,0.049,0.8975,0.0908,,,0.0029,0.0138,,0.0068,,0.7857,,0.1524,,0.1459,0.723,0.0701,,0.2122
675,,0.314,,0.0493,,0.0481,0.9074,0.0978,,,0.0023,0.0141,,0.0068,,0.77,,0.1486,,0.1419,0.7331,0.0745,,0.2068
676,,0.3091,,0.0472,,0.0467,0.9172,0.1057,,,0.0009,0.0137,,0.006,,0.7628,,0.1456,,0.139,0.7431,0.0791,,0.2016
677,,0.3047,,0.0462,,0.0452,0.9272,0.1146,,,0.0001,0.0134,,0.0058,,0.7457,,0.1385,,0.135,0.7531,0.0838,,0.1964
678,,0.2968,,0.0447,,0.0442,0.9372,0.1244,,,0.0001,0.0134,,0.0058,,0.7348,,0.1363,,0.1309,0.7631,0.0888,,0.1913
679,,0.2864,,0.0435,,0.044,0.9472,0.1351,,,0.0005,0.0135,,0.0052,,0.7191,,0.1311,,0.1281,0.773,0.094,,0.1863
680,,0.2786,,0.0416,,0.044,0.9569,0.1468,,,0.0001,0.0127,,0.0052,,0.7091,,0.1293,,0.1228,0.783,0.0996,,0.1814
681,,0.2757,,0.041,,0.044,0.9661,0.1595,,,0.001,0.0135,,0.0049,,0.6994,,0.1269,,0.1187,0.7931,0.1053,,0.1766
682,,0.2675,,0.0398,,0.044,0.9743,0.1734,,,0.0001,0.0146,,0.0048,,0.6852,,0.1196,,0.1168,0.8035,0.1114,,0.1718
683,,0.2602,,0.0378,,0.0439,0.9815,0.1885,,,0.0001,0.013,,0.0044,,0.6738,,0.115,,0.1138,0.8142,0.1178,,0.1671
684,,0.252,,0.0371,,0.0427,0.9875,0.2053,,,0.0009,0.0129,,0.0045,,0.6567,,0.1133,,0.1104,0.8252,0.1246,,0.1625
685,,0.2466,,0.0354,,0.0407,0.9923,0.2235,,,0.0003,0.0131,,0.0042,,0.6483,,0.1121,,0.1067,0.8367,0.132,,0.158
686,,0.2398,,0.0348,,0.0391,0.9959,0.2434,,,0.0007,0.0132,,0.004,,0.6308,,0.111,,0.1039,0.8485,0.1403,,0.1536
687,,0.2325,,0.0337,,0.0388,0.9983,0.2649,,,0.0004,0.0133,,0.004,,0.6276,,0.1041,,0.102,0.8606,0.1495,,0.1492
688,,0.2308,,0.0323,,0.0389,0.9997,0.2883,,,0.0008,0.0133,,0.0035,,0.6115,,0.103,,0.0984,0.8731,0.1598,,0.145
689,,0.225,,0.0316,,0.0388,1,0.3133,,,0.0001,0.0122,,0.0034,,0.6024,,0.099,,0.0963,0.8861,0.1714,,0.1408
690,,0.2166,,0.0298,,0.0388,0.9994,0.34,,,0.0009,0.0126,,0.0033,,0.5895,,0.0975,,0.0934,0.8994,0.1841,,0.1367
691,,0.2064,,0.0291,,0.0388,0.9978,0.3684,,,0.0001,0.0133,,0.0032,,0.5841,,0.093,,0.0907,0.913,0.198,,0.1327
692,,0.2065,,0.0283,,0.0388,0.9953,0.3986,,,0.0004,0.0125,,0.003,,0.5721,,0.0923,,0.088,0.9268,0.2131,,0.1289
693,,0.1977,,0.0271,,0.0388,0.9918,0.4306,,,0.0002,0.0126,,0.0028,,0.5659,,0.0918,,0.0856,0.9402,0.2297,,0.1251
694,,0.1952,,0.0268,,0.0388,0.987,0.4643,,,0.0001,0.0123,,0.0028,,0.5562,,0.0878,,0.0823,0.953,0.2477,,0.1214
695,,0.1903,,0.026,,0.0389,0.9809,0.4997,,,0.0001,0.0119,,0.0027,,0.5444,,0.0835,,0.0813,0.9647,0.2676,,0.1179
696,,0.1848,,0.0242,,0.0388,0.9731,0.5366,,,0.0011,0.0131,,0.0026,,0.5336,,0.0804,,0.079,0.9751,0.2896,,0.1145
697,,0.1801,,0.0239,,0.0389,0.9635,0.5745,,,0.0011,0.0133,,0.0024,,0.5216,,0.0813,,0.075,0.9839,0.3138,,0.1113
698,,0.1755,,0.0238,,0.0382,0.9517,0.6128,,,0.0015,0.0129,,0.0025,,0.5163,,0.0776,,0.0744,0.991,0.3401,,0.1082
699,,0.1694,,0.023,,0.0373,0.9376,0.6513,,,0.0012,0.0119,,0.0025,,0.5006,,0.0769,,0.0728,0.9961,0.3688,,0.1054
700,,0.1665,,0.0217,,0.0363,0.9212,0.6897,,,0.001,0.0126,,0.0023,,0.4994,,0.0739,,0.0693,0.9991,0.3995,,0.1027
701,,0.1631,,,,0.0354,0.9023,0.7275,,,,,,,,0.4872,,0.0713,,,1,0.4323,,0.1002
702,,0.1579,,,,0.0344,0.8807,0.7648,,,,,,,,0.4822,,0.0693,,,0.9989,0.4669,,0.098
703,,0.1538,,,,0.0336,0.8563,0.8011,,,,,,,,0.473,,0.0681,,,0.9958,0.5035,,0.096
704,,0.1487,,,,0.0337,0.8289,0.8355,,,,,,,,0.4648,,0.0649,,,0.9907,0.5416,,0.0941
705,,0.1451,,,,0.0337,0.7983,0.8682,,,,,,,,0.4586,,0.0633,,,0.9836,0.5812,,0.0924
706,,0.1425,,,,0.0337,0.7647,0.8981,,,,,,,,0.4494,,0.0621,,,0.974,0.6218,,0.0909
707,,0.1417,,,,0.0337,0.7283,0.9245,,,,,,,,0.4414,,0.0605,,,0.9614,0.6632,,0.0895
708,,0.1361,,,,0.0337,0.6898,0.9471,,,,,,,,0.4343,,0.0585,,,0.9456,0.7045,,0.0881
709,,0.1354,,,,0.0337,0.6501,0.9668,,,,,,,,0.4279,,0.0579,,,0.9262,0.7454,,0.0867
710,,0.1284,,,,0.0337,0.6101,0.9818,,,,,,,,0.4226,,0.0569,,,0.9035,0.7852,,0.0854
711,,0.1258,,,,0.0337,0.5707,0.9922,,,,,,,,0.4124,,0.055,,,0.878,0.8234,,0.0839
712,,0.1245,,,,0.0337,0.5329,0.9984,,,,,,,,0.4053,,0.0541,,,0.8506,0.859,,0.0824
713,,0.1219,,,,,0.497,1,,,,,,,,0.403,,0.0523,,,0.8217,0.8919,,0.0807
714,,0.1196,,,,,0.4633,0.996,,,,,,,,0.395,,0.0507,,,0.7923,0.9211,,0.0789
715,,0.1157,,,,,0.4318,0.9883,,,,,,,,0.3844,,0.0487,,,0.7626,0.946,,0.0769
716,,0.1112,,,,,0.4023,0.9775,,,,,,,,0.3818,,0.0492,,,0.7326,0.9663,,0.0748
717,,0.1096,,,,,0.3746,0.963,,,,,,,,0.376,,0.0467,,,0.7025,0.9819,,0.0725
718,,0.1064,,,,,0.3484,0.9455,,,,,,,,0.368,,0.0467,,,0.6722,0.9926,,0.0701
719,,0.1044,,,,,0.3236,0.926,,,,,,,,0.3638,,0.0439,,,0.6415,0.9985,,0.0676
720,,0.1018,,,,,0.2997,0.9037,,,,,,,,0.3535,,0.0432,,,0.6103,1,,0.0651
721,,0.0996,,,,,0.2769,0.8792,,,,,,,,0.3478,,0.0425,,,0.5785,0.9971,,0.0625
722,,0.0968,,,,,0.255,0.8533,,,,,,,,0.3428,,0.0412,,,0.5461,0.9898,,0.0601
723,,0.096,,,,,0.2341,0.8266,,,,,,,,0.3359,,0.038,,,0.5131,0.9783,,0.0577
724,,0.0942,,,,,0.2145,0.799,,,,,,,,0.3323,,0.0385,,,0.48,0.9629,,0.0555
725,,0.0921,,,,,0.1966,0.7714,,,,,,,,0.3246,,0.0388,,,0.4477,0.9437,,0.0534
726,,0.0888,,,,,0.1807,0.7438,,,,,,,,0.3171,,0.0353,,,0.4172,0.9212,,0.0516
727,,0.0874,,,,,,0.7163,,,,,,,,0.3126,,0.0359,,,0.3909,0.8962,,0.0499
728,,0.0862,,,,,,0.689,,,,,,,,0.3091,,0.0346,,,0.3694,0.8692,,0.0484
729,,0.0829,,,,,,0.6623,,,,,,,,0.3041,,0.0317,,,0.3584,0.8408,,0.0471
730,,0.0814,,,,,,0.6364,,,,,,,,0.2924,,0.0321,,,,0.8117,,0.046
731,,0.0791,,,,,,0.6116,,,,,,,,0.2925,,0.032,,,,0.7824,,0.0451
732,,0.077,,,,,,0.588,,,,,,,,0.285,,0.0311,,,,0.7532,,0.0442
733,,0.078,,,,,,0.566,,,,,,,,0.2846,,0.0291,,,,0.7246,,0.0435
734,,0.0728,,,,,,0.5464,,,,,,,,0.2751,,0.0296,,,,0.6968,,0.0429
735,,0.0748,,,,,,0.5279,,,,,,,,0.2718,,0.0281,,,,0.6699,,0.0424
736,,0.0709,,,,,,0.5103,,,,,,,,0.2646,,0.0272,,,,0.6438,,0.0419
737,,0.0733,,,,,,0.4939,,,,,,,,0.2621,,0.0263,,,,0.6186,,0.0415
738,,0.0682,,,,,,0.4783,,,,,,,,0.2585,,0.0266,,,,0.5941,,0.0411
739,,0.0666,,,,,,0.4624,,,,,,,,0.2511,,0.0249,,,,0.5705,,0.0407
740,,0.0664,,,,,,0.4468,,,,,,,,0.2458,,0.025,,,,0.5478,,0.0403
741,,0.0663,,,,,,0.4323,,,,,,,,0.2441,,0.0243,,,,0.5262,,0.0398
742,,0.0612,,,,,,0.4184,,,,,,,,0.2372,,0.0238,,,,0.506,,0.0393
743,,0.0628,,,,,,0.4049,,,,,,,,0.2313,,0.0237,,,,0.4872,,0.0388
744,,0.0603,,,,,,0.3922,,,,,,,,0.2271,,0.0221,,,,0.4698,,0.0382
745,,0.0606,,,,,,0.381,,,,,,,,0.2204,,0.0222,,,,0.4537,,0.0375
746,,0.0569,,,,,,0.3702,,,,,,,,0.2172,,0.022,,,,0.4386,,0.0368
747,,0.0558,,,,,,0.3601,,,,,,,,0.2113,,0.0205,,,,0.4245,,0.036
748,,0.056,,,,,,0.3502,,,,,,,,0.2099,,0.0209,,,,0.4111,,0.0351
749,,0.0559,,,,,,0.3409,,,,,,,,0.2098,,0.0208,,,,0.3982,,0.0342
750,,0.0536,,,,,,0.3316,,,,,,,,0.202,,0.0196,,,,0.386,,0.0332
751,,0.0513,,,,,,0.3225,,,,,,,,0.2009,,,,,,0.3746,,0.0322
752,,0.0523,,,,,,0.3138,,,,,,,,0.1913,,,,,,0.364,,0.0311
753,,0.05,,,,,,0.3058,,,,,,,,0.1847,,,,,,0.354,,0.0301
754,,0.0496,,,,,,0.2983,,,,,,,,0.187,,,,,,0.3445,,0.029
755,,0.048,,,,,,0.2912,,,,,,,,0.1796,,,,,,0.3355,,0.0279
756,,0.0454,,,,,,0.2848,,,,,,,,0.1748,,,,,,0.3268,,0.0268
757,,0.0456,,,,,,0.2786,,,,,,,,0.1708,,,,,,0.3184,,0.0257
758,,0.0437,,,,,,0.2729,,,,,,,,0.1689,,,,,,0.3104,,0.0246
759,,0.0434,,,,,,0.2674,,,,,,,,0.1685,,,,,,0.303,,0.0235
760,,0.0403,,,,,,0.2619,,,,,,,,0.1641,,,,,,0.2959,,0.0224
761,,0.0414,,,,,,0.2568,,,,,,,,0.1592,,,,,,0.2892,,0.0214
762,,0.0398,,,,,,0.252,,,,,,,,0.1548,,,,,,0.2828,,0.0205
763,,0.0401,,,,,,0.247,,,,,,,,0.1525,,,,,,0.2765,,0.0195
764,,0.0395,,,,,,0.2431,,,,,,,,0.1513,,,,,,0.2706,,0.0187
765,,0.0359,,,,,,0.2399,,,,,,,,0.1463,,,,,,0.265,,0.0178
766,,0.038,,,,,,0.2367,,,,,,,,0.1449,,,,,,0.2597,,0.0171
767,,0.0368,,,,,,0.2346,,,,,,,,0.1408,,,,,,0.2548,,0.0165
768,,0.0339,,,,,,0.2331,,,,,,,,0.1378,,,,,,0.2502,,0.0159
769,,0.0335,,,,,,0.2312,,,,,,,,0.1381,,,,,,0.2456,,0.0154
770,,0.0336,,,,,,0.2293,,,,,,,,0.1328,,,,,,0.2409,,0.015
771,,0.0329,,,,,,0.2275,,,,,,,,0.129,,,,,,0.2361,,0.0147
772,,0.0324,,,,,,0.2253,,,,,,,,0.127,,,,,,0.2314,,0.0144
773,,0.0307,,,,,,0.2229,,,,,,,,0.1244,,,,,,0.2267,,0.0143
774,,0.0305,,,,,,0.2212,,,,,,,,0.1213,,,,,,0.2225,,
775,,0.0295,,,,,,0.2195,,,,,,,,0.118,,,,,,0.2188,,
776,,0.03,,,,,,0.2182,,,,,,,,0.1141,,,,,,0.2156,,
777,,0.0295,,,,,,0.2169,,,,,,,,0.1162,,,,,,0.2128,,
778,,0.0273,,,,,,0.2163,,,,,,,,0.108,,,,,,0.2107,,
779,,0.0263,,,,,,0.2153,,,,,,,,0.1066,,,,,,0.2092,,
780,,0.027,,,,,,0.2146,,,,,,,,0.1059,,,,,,0.208,,
781,,0.0253,,,,,,0.2142,,,,,,,,0.1032,,,,,,0.2072,,
782,,0.025,,,,,,0.214,,,,,,,,0.1035,,,,,,0.2067,,
783,,0.0264,,,,,,0.2129,,,,,,,,0.1002,,,,,,0.2061,,
784,,0.0245,,,,,,0.2115,,,,,,,,0.0963,,,,,,0.2054,,
785,,0.024,,,,,,0.2099,,,,,,,,0.0961,,,,,,0.2049,,
786,,0.0234,,,,,,0.2078,,,,,,,,0.0938,,,,,,0.2045,,
787,,0.0218,,,,,,0.2053,,,,,,,,0.0948,,,,,,0.2041,,
788,,0.0216,,,,,,0.2037,,,,,,,,0.0919,,,,,,0.204,,
789,,0.0217,,,,,,0.2025,,,,,,,,0.086,,,,,,0.2039,,
790,,0.0199,,,,,,0.2015,,,,,,,,0.085,,,,,,0.2036,,
791,,0.0211,,,,,,0.2008,,,,,,,,0.0843,,,,,,0.2028,,
792,,0.02,,,,,,0.2001,,,,,,,,0.0853,,,,,,0.2019,,
793,,0.0196,,,,,,0.1985,,,,,,,,0.0837,,,,,,0.2005,,
794,,0.0178,,,,,,0.1967,,,,,,,,0.0799,,,,,,0.1988,,
795,,0.0175,,,,,,0.1946,,,,,,,,0.0795,,,,,,0.1971,,
796,,0.0199,,,,,,0.192,,,,,,,,0.0792,,,,,,0.1957,,
797,,0.0183,,,,,,0.1896,,,,,,,,0.0775,,,,,,0.1945,,
798,,0.0166,,,,,,0.1879,,,,,,,,0.0779,,,,,,0.1937,,
799,,0.0163,,,,,,0.1869,,,,,,,,0.0755,,,,,,0.1933,,
800,,0.0167,,,,,,0.1858,,,,,,,,0.0718,,,,,,0.1931,,
