Wavelength,mCherry (AB),mCherry (EM),mOrange (AB),mOrange (EM),DsRed (EX),DsRed (EM),iRFP670 (EX),iRFP670 (EM),iRFP713 (EX),iRFP713 (EM),mScarlet (EX),mScarlet (EM),mApple (EX),mApple (EM),Sirius (EX),Sirius (EM),Cerulean (EM),Cerulean (EX),ECFP (EM),ECFP (EX),mKO (EM),mKO (EX),mPlum (EM),mPlum (EX),TagRFP (EM),TagRFP (EX),tdTomato (EM),tdTomato (EX),iRFP720 (EX),iRFP720 (EM),EBFP2 (EX),EBFP2 (EM),EYFP (EX),EYFP (EM),T-Sapphire (EX),T-Sapphire (EM),mCitrine (AB),mCitrine (EM),EGFPm (AB),EGFPm (EM),E2-Crimson (EX),E2-Crimson (EM),NirFP (AB),NirFP (EM),mAmetrine (EX),mAmetrine (EM),iRFP682 (EX),iRFP682 (EM),iRFP702 (EX),iRFP702 (EM),Jred (EX),Jred (EM),TagCFP (EX),TagCFP (EM),TagGFP2 (EX),TagGFP2 (EM),TagYFP (EX),TagYFP (EM),CopGFP (EX),CopGFP (EM),mRuby2 (EX),mRuby2 (EM),TagRFP-T (EX),TagRFP-T (EM)
305,0.163,,0.11,,,,,,,,0.168582,,0.226519,,,,,0.16015200316906,0.1526,,,,,,,,,,,,0.05026,,,,,,0.039,,0.061,,,,,,0.02661,,,,,,,,,,,,,,0.022409778,,0.0955975,,0.151786,
306,0.161,,0.107,,,,,,,,0.154534,,0.214088,,,,,0.14678199589252,0.1399,,,,,,,,,,,,0.04792,,,,,,0.036,,0.058,,,,,,0.0257,,,,,,,,,,,,,,0.022611201,,0.0880503,,0.139881,
307,0.11,,0.105,,,,,,,,0.144317,,0.20442,,,,,0.13547000288963,0.1291,,,,,,,,,,,,0.04602,,,,,,0.034,,0.054,,,,,,0.02501,,,,,,,,,,,,,,0.022611201,,0.0830189,,0.129464,
308,0.067,,0.105,,,,,,,,0.135377,,0.196133,,,,,0.1275260001421,0.1215,,,,,,,,,,,,0.0453,,,,,,0.033,,0.053,,,,,,0.02476,,,,,,,,,,,,,,0.022380435,,0.0779874,,0.122024,
309,0.057,,0.107,,,,,,,,0.127714,,0.190608,,,,,0.1183469966054,0.1128,,,,,,,,,,,,0.04595,,,,,,0.03,,0.049,,,,,,0.02474,,,,,,,,,,,,,,0.022380435,,0.0754717,,0.11756,
310,0.055,,0.11,,,,,,,,0.122605,,0.183702,,,,,0.11231499910355,0.107,,,0.065295487642288,,,,,,,,,0.04769,,,,,,0.03,,0.049,,,,,,0.02488,,,,,,,,,,,,,,0.021437325,,0.0704403,,0.110119,
311,0.054,,0.113,,,,,,,,0.117497,,0.180939,,,,,0.10750599950552,0.1024,,,0.06835925579071,,,,,,,,,0.05005,,,,,,0.029,,0.047,,,,,,0.02507,,,,,,,,,,,,,,0.021437325,,0.0704403,,0.105655,
312,0.054,,0.117,,,,,,,,0.114943,,0.176796,,,,,0.10149600356817,0.0967,,,0.068507000803947,,,,,,,,,0.05254,,,,,,0.027,,0.046,,,,,,0.02531,,,,,,,,,,,,,,0.020792369,,0.0679245,,0.10119,
313,0.055,,0.12,,,,,,,,0.111111,,0.175414,,,,,0.097154803574085,0.0926,,,0.069463454186916,,,,,,,,,0.05487,,,,,,0.027,,0.045,,,,,,0.02565,,,,,,,,,,,,,,0.020792369,,0.0654088,,0.0997024,
314,0.054,,0.123,,,,,,,,0.111111,,0.174033,,,,,0.093724697828293,0.0893,,,0.07139191031456,,,,,,,,,0.0569,,,,,,0.027,,0.044,,,,,,0.02593,,,,,,,,,,,,,,0.018227186,,0.0641509,,0.0967262,
315,0.056,,0.126,,,,,,,,0.111111,,0.172652,,,,,0.091232903301716,0.0869,,,0.073506996035576,,,,,,,,,0.05861,,,,,,0.026,,0.045,,,,,,0.02612,,,,,,,,,,,,,,0.018227186,,0.0628931,,0.0952381,
316,0.058,,0.128,,,,,,,,0.111111,,0.171271,,,,,0.087426997721195,0.0833,,,0.075342148542404,,,,,,,,,0.06007,,,,,,0.026,,0.044,,,,,,0.02633,,,,,,,,,,,,,,0.016778005,,0.0616352,,0.0922619,
317,0.06,,0.132,,,,,,,,0.111111,,0.171271,,,,,0.084173902869225,0.0802,,,0.076259717345238,,,,,,,,,0.06133,,,,,,0.025,,0.042,,,,,,0.02668,,,,,,,,,,,,,,0.016778005,,0.0616352,,0.0907738,
318,0.063,,0.135,,,,,,,,0.112388,,0.171271,,,,,0.082320101559162,0.0784,,,0.077993780374527,,,,,,,,,0.06247,,,,,,0.025,,0.041,,,,,,0.027,,,,,,,,,,,,,,0.014672093,,0.0616352,,0.0907738,
319,0.066,,0.139,,,,,,,,0.113665,,0.174033,,,,,0.079951502382755,0.0762,,,0.079393468797207,,,,,,,,,0.06364,,,,,,0.025,,0.04,,,,,,0.02753,,,,,,,,,,,,,,0.014672093,,0.0616352,,0.0892857,
320,0.071,,0.143,,,,,,,,0.114943,,0.174033,,,,,0.078721903264523,0.075,,,0.081415243446827,,,,,,,,,0.06499,,,,,,0.024,,0.039,,,,,,0.02822,,,,,,,,,,,,,,0.014025979,,0.0616352,,0.0892857,
321,0.075,,0.148,,,,,,,,0.118774,,0.175414,,0.525157449,,,0.076588399708271,0.073,,,0.083203732967377,,,,,,,,,0.06677,,,,,,0.025,,0.038,,,,,,0.0292,,,,,,,,,,,,,,0.014025979,,0.0603774,,0.0877976,
322,0.081,,0.154,,,,,,,,0.120051,,0.176796,,0.530652275,,,0.073626302182674,0.0702,,,0.086003109812737,,,,,,,,,0.0691,,,,0.149774046,,0.024,,0.035,,,,,,0.03031,,,,,,,,,,,,,,0.012135368,,0.0616352,,0.0863095,
323,0.086,,0.161,,,,,,,,0.120051,,0.178177,,0.537027122,,,0.073278702795506,0.0698,,,0.088258162140846,,,,,,,,,0.07203,,,,0.162040022,,0.024,,0.035,,,,,,0.03169,,,,,,,,,,,,,,0.012135368,,0.0616352,,0.0863095,
324,0.092,,0.168,,,,,,,,0.123883,,0.178177,,0.544441028,,,0.072136603295803,0.0687,,,0.091912910342216,,,,,,,,,0.07544,,,,0.171078084,,0.023,,0.035,,,,,,0.03313,,,,,,,,,,,,,,0.010369425,,0.0603774,,0.0848214,
325,0.098,,0.175,,,,,,,,0.126437,,0.180939,,0.552817125,,,0.070828303694725,0.0675,,,0.094556763768196,,,,,,,,,0.07915,,,,0.17688833,,0.023,,0.035,,,,,,0.03458,,,,,,,,,,0.0171313,,,,0.010369425,,0.0603774,,0.0833333,
326,0.104,,0.18,,,,,,,,0.130268,,0.183702,,0.562666992,,,0.068530596792698,0.0653,,,0.096034213900566,,,,,,,,,0.08296,,,,0.178825079,,0.023,,0.032,,,,,,0.0362,,,,,,,,,,0.016465,,,,0.007364394,,0.0603774,,0.0833333,
327,0.108,,0.183,,,,,,,,0.131545,,0.186464,,0.574427987,,,0.067519702017307,0.0643,,,0.097356140613556,,,,,,,,,0.08675,,,,0.177533913,,0.023,,0.032,,,,,,0.03775,,,,,,,,,,0.015889,,,,0.007364394,,0.0591195,,0.0833333,
328,0.115,,0.184,,,,,,,,0.135377,,0.185083,,0.587286357,,,0.067424699664116,0.0642,,,0.099066875874996,,,,,,,,,0.09055,,,,0.169786918,,0.024,,0.032,,,,,,0.03935,,,,,,,,,,0.0153595,,,,0.006255122,,0.0616352,,0.0803571,
329,0.119,,0.182,,,,,,,,0.136654,,0.186464,,0.601350778,,,0.064894303679466,0.0618,,,0.099844478070736,,,,,,,,,0.09446,,,,0.174951581,,0.022,,0.03,,,,,,0.04104,,,,,,,,,,0.014876,,,,0.006255122,,0.0603774,,0.0803571,
330,0.124,,0.176,,,,,,,,0.139208,,0.189227,,0.616387994,,,0.063914097845554,0.0609,,,0.10015551745892,,,,,,,,,0.09869,,,,0.181407411,,0.022,,0.031,,,,,,0.04299,,,,,,,,,,0.0137556,,,,0.006165552,,0.0591195,,0.078869,
331,0.129,,0.169,,,,,,,,0.141762,,0.190608,,0.632649816,,,0.063661597669125,0.0607,,,0.098600313067436,,,,,,,,,0.10347,,,,0.190445472,,0.022,,0.03,,,,,,0.04511,,,,,,,,,,0.0128281,,,,0.006165552,,0.0591195,,0.078869,
332,0.134,,0.158,,,,,,,,0.146871,,0.19337,,0.649574303,,,0.061028901487589,0.0582,,,0.096034213900566,,,,,,,,,0.10897,,,,0.192382221,,0.022,,0.03,,,,,,0.04759,,,,,,,,,,0.0120697,,,,0.005829798,,0.0603774,,0.078869,
333,0.138,,0.146,,,,,,,,0.149425,,0.197514,,0.666535901,,,0.06149610131979,0.0586,,,0.094167962670326,,,,,,,,,0.11532,,,,0.192382221,,0.023,,0.032,,,,,,0.05,,,,,,,,,,0.0114398,,,,0.005829798,,0.0616352,,0.077381,
334,0.144,,0.134,,,,,,,,0.150702,,0.198895,,0.683783769,,,0.06178380176425,0.0589,,,0.090902023017406,,,,,,,,,0.1226,,,,0.181407411,,0.024,,0.031,,,,,,0.05269,,,,,,,,,,0.0109023,,,,0.005852405,,0.0603774,,0.078869,
335,0.151,,0.122,,,,,,,,0.154534,,0.201657,,0.700541266,,,0.059807199984789,0.057,,,0.087947122752666,,,,,,,,,0.13075,,,,0.171078084,,0.022,,0.03,,,,,,0.05572,,,,,,,,,,0.0104642,,,,0.005852405,,0.0628931,,0.078869,
336,0.159,,0.112,,,,,,,,0.159642,,0.205801,,0.717115866,,,0.060264598578215,0.0574,,,0.085692070424557,,,,,,,,,0.13964,,,,0.186571975,,0.024,,0.032,,,,,,0.05877,,,,,,,,,,0.0100646,,,,0.005621385,,0.0616352,,0.078869,
337,0.169,,0.103,,,,,,,,0.162197,,0.209945,,0.733141779,,,0.060860298573971,0.058,,,0.080715395510197,,,,,,,,,0.149,,,,0.204648197,,0.024,,0.032,,,,,,0.06204,,,,,,,,,,0.0096995,,,,0.005621385,,0.0641509,,0.077381,
338,0.178,,0.094,,,,,,,,0.167305,,0.214088,,0.748425506,,,0.059192501008511,0.0564,,,0.077083982527256,,,,,,,,,0.15861,,,,0.21174951,,0.024,,0.033,,,,,,0.06566,,,,,,,,,,0.009369,,,,0.004870528,,0.0641509,,0.0758929,
339,0.191,,0.086,,,,,,,,0.167305,,0.216851,,0.763346092,,,0.059606101363897,0.0568,,,0.074945569038391,,,,,,,,,0.16835,,,,0.209812761,,0.023,,0.033,,,,,,0.06971,,,,,,,,,,0.0091009,,,,0.004870528,,0.0654088,,0.077381,
340,0.2,,0.08,,,,,,,,0.172414,,0.218232,,0.777535095,,,0.060377601534128,0.0575,,,0.071057543158531,,,,,,,,,0.17835,,,,0.212395093,,0.025,,0.035,,,,,,0.0743,,,,,,,,,,0.0088385,,,,0.005974252,,0.0654088,,0.0744048,
341,0.213,,0.074,,,,,,,,0.171137,,0.218232,,0.804150409,,,0.059562798589468,0.0568,,,0.067651629447937,,,,,,,,,0.18902,,,,0.236927045,,0.024,,0.035,,,,,,0.07933,,,,,,,,,,0.008587,,,,0.005974252,,0.0666667,,0.0758929,
342,0.22,,0.069,,,,,,,,0.168582,,0.216851,,0.81912931,,,0.059702001512051,0.0569,,,0.062993779778481,,,,,,,,,0.20089,,,,0.242737292,,0.025,,0.036,,,,,,0.08495,,,,,,,,,,0.0083467,,,,0.005552396,,0.0691824,,0.0758929,
343,0.227,,0.065,,,,,,,,0.166028,,0.214088,,0.833885555,,,0.059992000460625,0.0572,,,0.05972783640027,,,,,,,,,0.21447,,,,0.248547438,,0.024,,0.036,,,,,,0.09158,,,,,,,,,,0.0081503,,,,0.005552396,,0.0666667,,0.0758929,
344,0.228,,0.062,,,,,,,,0.16092,,0.208564,,0.849421095,,,0.060173001140356,0.0573,,,0.056104198098183,,,,,,,,,0.22997,,,,0.256939917,,0.025,,0.037,,,,,,0.09813,,,,,,,,,,0.0079909,,,,0.005942912,,0.0666667,,0.077381,
345,0.225,,0.058,,,,,,,,0.155811,,0.20442,,0.865672314,,,0.061367198824883,0.0585,,,0.052931569516659,,,,,,,,,0.24713,,,,0.265978078,,0.025,,0.04,,,,,,0.10478,,,,,,,,,,0.0078809,,,,0.005942912,,0.0679245,,0.0758929,
346,0.217,,0.056,,,,,,,,0.149425,,0.196133,,0.882464269,,,0.061844501644373,0.0589,,,0.050723172724247,,,,,,,,,0.26528,,,,0.27953522,,0.025,,0.041,,,,,,0.11192,,,,,,,,,,0.0078199,,,,0.006249361,,0.0691824,,0.0758929,
347,0.207,,0.053,,,,,,,,0.145594,,0.187845,,0.899028267,,,0.061554398387671,0.0587,,,0.048211507499218,,,,,,,,,0.28358,,,,0.295674694,,0.025,,0.043,,,,,,0.11921,,,,,,,,,,0.0078158,,,,0.006249361,,0.0679245,,0.0729167,
348,0.194,,0.051,,,,,,,,0.137931,,0.183702,,0.915997816,,,0.061534199863672,0.0586,,,0.045155521482229,,,,,,,,,0.30132,,,,0.322143295,,0.023,,0.044,,,,,,0.12728,,,,,,,,,,0.007845,,,,0.006522036,,0.0704403,,0.078869,
349,0.181,,0.049,,,,,,,,0.132822,,0.176796,,0.932914352,,,0.061190199106932,0.0583,,,0.043615862727165,,,,,,,,,0.31821,,,,0.339573935,,0.023,,0.047,,,,,,0.13471,,,,,,,,,,0.0079065,,,,0.006522036,,0.0679245,,0.0744048,
350,0.17,,0.047,,,,,,,,0.127714,,0.16989,,0.949101955,,,0.062552399933338,0.0596,,,0.040684290230274,,,,,,,,,0.33443,,0.04841,,0.34925758,,0.022,,0.049,,0.151415863,,,,0.14379,,,,,,0.070968037,,0.067223123,,0.0080028,,0.0119,,0.007028663,,0.0679245,,0.077381,
351,0.158,,0.045,,,,,,,,0.122605,,0.164365,,0.96413652,,,0.062164198607206,0.0592,,,0.037830483168364,,,,,,,,,0.35055,,0.04831,,0.357650158,,0.019,,0.048,,0.145957147,,,,0.15374,,,,,,0.068705868,,0.067223123,,0.0081616,,0.0116,,0.007028663,,0.0691824,,0.0744048,
352,0.15,,0.043,,,,,,,,0.120051,,0.160221,,0.97759394,,,0.06523360311985,0.0622,,,0.035878695547581,,,,,,,,,0.3672,,0.04837,,0.372498366,,0.022,,0.051,,0.144050205,,,,0.16428,,,,,,0.065503231,,0.069557345,,0.0083672,,0.0115,,0.008614599,,0.0654088,,0.0758929,
353,0.141,,0.041,,,,,,,,0.114943,,0.156077,,0.988029603,,,0.070596501231194,0.0673,,,0.033810265362263,,,,,,,,,0.38491,,0.04902,,0.38218201,,0.023,,0.057,,0.137193396,,,,0.17451,,,,,,0.061696704,,0.069557345,,0.0086035,,0.011,,0.008614599,,0.0666667,,0.0744048,
354,0.136,,0.039,,,,,,,,0.111111,,0.151934,,0.995173141,,,0.068077497184277,0.0649,,,0.03193623572588,,,,,,,,,0.40394,,0.04971,,0.38863784,,0.023,,0.054,,0.126810077,,,,0.18802,,,,,,0.059813158,,0.071557896,,0.008875,,0.0103,,0.009409025,,0.0666667,,0.0729167,
355,0.132,,0.036,,,,,,,,0.108557,,0.149171,,0.99911998,,,0.068477801978588,0.0653,,,0.029976671561599,,,,,,,,,0.42454,,0.04943,,0.395739153,,0.02,,0.056,,0.128119639,,,,0.20212,,,,,,0.060651127,,0.071557896,,0.0092124,,0.01,,0.009409025,,0.0666667,,0.0744048,
356,0.129,,0.034,,,,,,,,0.106003,,0.146409,,1,,,0.070982798933983,0.0676,,,0.028063764795661,,,,,,,,,0.44702,,0.05043,,0.403486148,,0.019,,0.059,,0.126092235,,,,0.21767,,,,,,0.056620022,,0.072634703,,0.0095673,,0.0103,,0.009855535,,0.0666667,,0.0729167,
357,0.126,,0.032,,,,,,,,0.103448,,0.146409,,0.998571292,,,0.074026003479958,0.0705,,,0.025956453755498,,,,,,,,,0.47203,,0.0508,,0.413815375,,0.021,,0.062,,0.119028633,,,,0.23357,,,,,,0.055005906,,0.072634703,,0.009953,,0.0095,,0.009855535,,0.0666667,,0.0714286,
358,0.125,,0.03,,,,,,,,0.102171,,0.142265,,0.995674117,,,0.075878597795963,0.0723,,,0.024354588240385,,,,,,,,,0.50044,,0.0514,,0.435119413,,0.021,,0.065,,0.119911144,,,,0.25169,,,,,,0.056767246,,0.075645793,,0.0103869,,0.0099,,0.011323375,,0.0691824,,0.0758929,
