FLUOROPHORE,TYPE,SUBTYPE,OLIGOMERIZATION,BRIGHTNESS (Extinction Coefficient * Quntum Yield @ pH 7.4 under ideal condition (mM*cm)^_1),BRIGHTNESS (%EGFP),SOURCE,COST,QUANTUM_YIELD (%),MOLAR_ABS_COEF ((M*cm)^-1),SPECTRA
IRDye¬800CWAzide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CWCarboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CWDBCO,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CWMaleimide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CWNHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800phosphoramidite,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800RS,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800RSCarboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800RSNHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬QC-1Carboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬QC-1NHSEster,Fluorescent Dye,,NA,0,0,,,,,
JC-1,Fluorescent Dye,,NA,0,0,,,,,
JOJO-1,Fluorescent Dye,,NA,0,0,,,,,
JonamacRedEvitagT2,Fluorescent Dye,,NA,0,0,,,,,
kusabiraorange,Fluorescent Dye,,NA,0,0,,,,,
LakePlacid490,Fluorescent Dye,,NA,0,0,,,,,
LDS751,Fluorescent Dye,,NA,0,0,,,,,
LissamineRhodamine(Weiss),Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableAquaDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableBlueDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableFarRedDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableGreenDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableNear-IRDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableRedDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LIVEDEADFixableVioletDeadCellStain,Fluorescent Dye,,NA,0,0,,,,,
LOLO-1,Fluorescent Dye,,NA,0,0,,,,,
luciferyellowCH,Fluorescent Dye,,NA,0,0,,,,,
LuciferYellowCHDilitiumsalt,Fluorescent Dye,,NA,0,0,,,,,
LumioGreen,Fluorescent Dye,,NA,0,0,,,,,
LumioRed,Fluorescent Dye,,NA,0,0,,,,,
LumogenFOrange,Fluorescent Dye,,NA,0,0,,,,,
LumogenRedF300,Fluorescent Dye,,NA,0,0,,,,,
LysoSensorBlueDND-192,Fluorescent Dye,,NA,0,0,,,,,
LysoSensorGreenDND-153,Fluorescent Dye,,NA,0,0,,,,,
LysoSensorYellow-BlueDND-160pH3,Fluorescent Dye,,NA,0,0,,,,,
LysoSensorYellowBlueDND-160,Fluorescent Dye,,NA,0,0,,,,,
LysoTrackerBlueDND-22,Fluorescent Dye,,NA,0,0,,,,,
LysoTrackerGreenDND-26,Fluorescent Dye,,NA,0,0,,,,,
LysoTrackerRedDND-99,Fluorescent Dye,,NA,0,0,,,,,
LysoTrackerYellowHCK-123,Fluorescent Dye,,NA,0,0,,,,,
MacounRedEvitagT2,Fluorescent Dye,,NA,0,0,,,,,
MacrolexFluorescenceRedG,Fluorescent Dye,,NA,0,0,,,,,
MacrolexFluorescenceYellow10GN,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumGreen,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumOctaethylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumOrange,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumPhthalocyanine,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumTetramesitylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
MagnesiumTetraphenylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
malachitegreenisothiocyanate,Fluorescent Dye,,NA,0,0,,,,,
MapleRed-Orange620,Fluorescent Dye,,NA,0,0,,,,,
MarinaBlue,Fluorescent Dye,,NA,0,0,,,,,
mBBr,Fluorescent Dye,,NA,0,0,,,,,
Merocyanine540,Fluorescent Dye,,NA,0,0,,,,,
MethyleneBlue,Fluorescent Dye,,NA,0,0,,,,,
MitoTrackerDeepRed633,Fluorescent Dye,,NA,0,0,,,,,
MitoTrackerGreenFM,Fluorescent Dye,,NA,0,0,,,,,
MitoTrackerOrangeCMTMRos,Fluorescent Dye,,NA,0,0,,,,,
MitoTrackerRedCMXRos,Fluorescent Dye,,NA,0,0,,,,,
Monobromobimane,Fluorescent Dye,,NA,0,0,,,,,
Monochlorobimane,Fluorescent Dye,,NA,0,0,,,,,
"N,N-Bis(2,4,6-trimethylphenyl)-3,4",Fluorescent Dye,,NA,0,0,,,,,
"N,N-Bis(2,4,6-trimethylphenyl)-3,4/9,10-perylenebis(dicarboximide)",Fluorescent Dye,,NA,0,0,,,,,
NADH,Fluorescent Dye,,NA,0,0,,,,,
Naphthalene,Fluorescent Dye,,NA,0,0,,,,,
Naphthofluorescein,Fluorescent Dye,,NA,0,0,,,,,
NBD-X,Fluorescent Dye,,NA,0,0,,,,,
NeuroTrace500-525,Fluorescent Dye,,NA,0,0,,,,,
Nilblauperchlorate,Fluorescent Dye,,NA,0,0,,,,,
NileBlue,Fluorescent Dye,,NA,0,0,,,,,
NileBlue(EtOH),Fluorescent Dye,,NA,0,0,,,,,
NileblueA,Fluorescent Dye,,NA,0,0,,,,,
nilered,Fluorescent Dye,,NA,0,0,,,,,
NIR1,Fluorescent Dye,,NA,0,0,,,,,
NIR2,Fluorescent Dye,,NA,0,0,,,,,
NIR3,Fluorescent Dye,,NA,0,0,,,,,
NIR4,Fluorescent Dye,,NA,0,0,,,,,
NIR820,Fluorescent Dye,,NA,0,0,,,,,
Octaethylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
OHbutoxyaza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
OHC12aza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
OrangeFluorescentProtein,Fluorescent Dye,,NA,0,0,,,,,
OregonGreen488,Fluorescent Dye,,NA,0,0,,,,,
OregonGreen488DHPE,Fluorescent Dye,,NA,0,0,,,,,
OregonGreen514,Fluorescent Dye,,NA,0,0,,,,,
Oxazin1,Fluorescent Dye,,NA,0,0,,,,,
Oxazin750,Fluorescent Dye,,NA,0,0,,,,,
Oxazine1,Fluorescent Dye,,NA,0,0,,,,,
Oxazine170,Fluorescent Dye,,NA,0,0,,,,,
P-Quaterphenyl,Fluorescent Dye,,NA,0,0,,,,,
P-Terphenyl,Fluorescent Dye,,NA,0,0,,,,,
P4-3,Fluorescent Dye,,NA,0,0,,,,,
PA-GFP(post-activation),Fluorescent Dye,,NA,0,0,,,,,
PA-GFP(pre-activation),Fluorescent Dye,,NA,0,0,,,,,
PacificBluegoatanti-mouseIgGantibody,Fluorescent Dye,,NA,0,0,,,,,
PacificOrange,Fluorescent Dye,,NA,0,0,,,,,
Palladium(II)meso-tetraphenyl-tetrabenzoporphyrin,Fluorescent Dye,,NA,0,0,,,,,
PdOEPK,Fluorescent Dye,,NA,0,0,,,,,
PdTFPP,Fluorescent Dye,,NA,0,0,,,,,
PerCP-Cy5.5,Fluorescent Dye,,NA,0,0,,,,,
Perylene,Fluorescent Dye,,NA,0,0,,,,,
Perylenediimid,Fluorescent Dye,,NA,0,0,,,,,
PeryleneGreenpH-Probe720-5.5,Fluorescent Dye,,NA,0,0,,,,,
PeryleneGreenTagpH-Probe720-6.0,Fluorescent Dye,,NA,0,0,,,,,
PeryleneOrangepH-Probe550-2.0,Fluorescent Dye,,NA,0,0,,,,,
PeryleneOrangepH-Probe550-5.0,Fluorescent Dye,,NA,0,0,,,,,
PeryleneOrangepH-Probe550-5.5,Fluorescent Dye,,NA,0,0,,,,,
PeryleneOrangepH-Probe550-6.5,Fluorescent Dye,,NA,0,0,,,,,
PeryleneOrangeTag550,Fluorescent Dye,,NA,0,0,,,,,
PeryleneRedpH-Probe600-5.5,Fluorescent Dye,,NA,0,0,,,,,
PerylneGreenpH-Probe740-5.5,Fluorescent Dye,,NA,0,0,,,,,
Phenol,Fluorescent Dye,,NA,0,0,,,,,
Phenylalanine,Fluorescent Dye,,NA,0,0,,,,,
"pHrodo,succinimidylester",Fluorescent Dye,,NA,0,0,,,,,
Phthalocyanine,Fluorescent Dye,,NA,0,0,,,,,
PicoGreendsDNAquantitationreagent,Fluorescent Dye,,NA,0,0,,,,,
Pinacyanol-Iodide,Fluorescent Dye,,NA,0,0,,,,,
Piroxicam,Fluorescent Dye,,NA,0,0,,,,,
Platinum(II)tetraphenyltetrabenzoporphyrin,Fluorescent Dye,,NA,0,0,,,,,
PlumPurple,Fluorescent Dye,,NA,0,0,,,,,
PO-PRO-1,Fluorescent Dye,,NA,0,0,,,,,
PO-PRO-3,Fluorescent Dye,,NA,0,0,,,,,
Pontaminefastscarlet4B,Fluorescent Dye,,NA,0,0,,,,,
POPO-1,Fluorescent Dye,,NA,0,0,,,,,
POPO-3,Fluorescent Dye,,NA,0,0,,,,,
POPOP,Fluorescent Dye,,NA,0,0,,,,,
Porphin,Fluorescent Dye,,NA,0,0,,,,,
PPO,Fluorescent Dye,,NA,0,0,,,,,
Pro-QDiamond,Fluorescent Dye,,NA,0,0,,,,,
Pro-QDiamondphosphoproteingelstain,Fluorescent Dye,,NA,0,0,,,,,
Pro-QEmerald,Fluorescent Dye,,NA,0,0,,,,,
Pro-QEmerald300reagent,Fluorescent Dye,,NA,0,0,,,,,
Proflavin,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-350,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-405,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-415,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-488,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-488LSS,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-488Premium,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-500LSS,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-505,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-510LSS,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-514LSS,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-520LSS,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-532,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-546,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-555,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-590,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-610,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-633,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-647,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-670,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-680,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-700,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-750,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-770,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-780,Fluorescent Dye,,NA,0,0,,,,,
PromoFluor-840,Fluorescent Dye,,NA,0,0,,,,,
propidiumiodide,Fluorescent Dye,,NA,0,0,,,,,
ProtoporphyrinIX,Fluorescent Dye,,NA,0,0,,,,,
PTIR475-UF,Fluorescent Dye,,NA,0,0,,,,,
PTIR545-UF,Fluorescent Dye,,NA,0,0,,,,,
PtOEP,Fluorescent Dye,,NA,0,0,,,,,
PtOEPK,Fluorescent Dye,,NA,0,0,,,,,
PtTFPP,Fluorescent Dye,,NA,0,0,,,,,
Pyrene,Fluorescent Dye,,NA,0,0,,,,,
QD525,Fluorescent Dye,,NA,0,0,,,,,
QD565,Fluorescent Dye,,NA,0,0,,,,,
QD585,Fluorescent Dye,,NA,0,0,,,,,
QD605,Fluorescent Dye,,NA,0,0,,,,,
QD655,Fluorescent Dye,,NA,0,0,,,,,
QD705,Fluorescent Dye,,NA,0,0,,,,,
QD800,Fluorescent Dye,,NA,0,0,,,,,
QD903,Fluorescent Dye,,NA,0,0,,,,,
QDot525,Fluorescent Dye,,NA,0,0,,,,,
QDot545,Fluorescent Dye,,NA,0,0,,,,,
QDot565,Fluorescent Dye,,NA,0,0,,,,,
Qdot585,Fluorescent Dye,,NA,0,0,,,,,
Qdot605,Fluorescent Dye,,NA,0,0,,,,,
Qdot625,Fluorescent Dye,,NA,0,0,,,,,
Qdot655,Fluorescent Dye,,NA,0,0,,,,,
Qdot705,Fluorescent Dye,,NA,0,0,,,,,
Qdot800,Fluorescent Dye,,NA,0,0,,,,,
QDPbS950,Fluorescent Dye,,NA,0,0,,,,,
QpyMe2,Fluorescent Dye,,NA,0,0,,,,,
QSY7,Fluorescent Dye,,NA,0,0,,,,,
QSY9,Fluorescent Dye,,NA,0,0,,,,,
QSY21,Fluorescent Dye,,NA,0,0,,,,,
QSY35,Fluorescent Dye,,NA,0,0,,,,,
quinine,Fluorescent Dye,,NA,0,0,,,,,
QuinineSulfate,Fluorescent Dye,,NA,0,0,,,,,
R-phycoerythrin,Fluorescent Dye,,NA,0,0,,,,,
ReAsH-CCPGCC,Fluorescent Dye,,NA,0,0,,,,,
ReAsH-CCXXCC,Fluorescent Dye,,NA,0,0,,,,,
RedBeads(Weiss),Fluorescent Dye,,NA,0,0,,,,,
RedmondRed,Fluorescent Dye,,NA,0,0,,,,,
resorufin,Fluorescent Dye,,NA,0,0,,,,,
rhod-2,Fluorescent Dye,,NA,0,0,,,,,
Rhodamin700perchlorate,Fluorescent Dye,,NA,0,0,,,,,
rhodamine,Fluorescent Dye,,NA,0,0,,,,,
Rhodamine6G,Fluorescent Dye,,NA,0,0,,,,,
Rhodamine101,Fluorescent Dye,,NA,0,0,,,,,
rhodamine110,Fluorescent Dye,,NA,0,0,,,,,
Rhodamine123,Fluorescent Dye,,NA,0,0,,,,,
RhodamineB,Fluorescent Dye,,NA,0,0,,,,,
RhodamineGreen,Fluorescent Dye,,NA,0,0,,,,,
RhodaminepH-Probe585-7.0,Fluorescent Dye,,NA,0,0,,,,,
RhodaminepH-Probe585-7.5,Fluorescent Dye,,NA,0,0,,,,,
Rhodaminephalloidin,Fluorescent Dye,,NA,0,0,,,,,
RhodamineRed-X,Fluorescent Dye,,NA,0,0,,,,,
RhodamineTagpH-Probe585-7.0,Fluorescent Dye,,NA,0,0,,,,,
RhodolGreen,Fluorescent Dye,,NA,0,0,,,,,
Riboflavin,Fluorescent Dye,,NA,0,0,,,,,
RoseBengal,Fluorescent Dye,,NA,0,0,,,,,
SBFI,Fluorescent Dye,,NA,0,0,,,,,
SBFIZeroNa,Fluorescent Dye,,NA,0,0,,,,,
SensiLightPBXL-1,Fluorescent Dye,,NA,0,0,,,,,
SensiLightPBXL-3,Fluorescent Dye,,NA,0,0,,,,,
Seta-633-NHS,Fluorescent Dye,,NA,0,0,,,,,
Seta633-NHS,Fluorescent Dye,,NA,0,0,,,,,
SeTau-380-NHS,Fluorescent Dye,,NA,0,0,,,,,
SeTau-647-NHS,Fluorescent Dye,,NA,0,0,,,,,
Snake-EyeRed900,Fluorescent Dye,,NA,0,0,,,,,
SNIR1,Fluorescent Dye,,NA,0,0,,,,,
SNIR2,Fluorescent Dye,,NA,0,0,,,,,
SNIR3,Fluorescent Dye,,NA,0,0,,,,,
SNIR4,Fluorescent Dye,,NA,0,0,,,,,
SodiumGreen,Fluorescent Dye,,NA,0,0,,,,,
Solophenylflavine7GFE500,Fluorescent Dye,,NA,0,0,,,,,
SpectrumAqua,Fluorescent Dye,,NA,0,0,,,,,
SpectrumBlue,Fluorescent Dye,,NA,0,0,,,,,
SpectrumFRed,Fluorescent Dye,,NA,0,0,,,,,
SpectrumGold,Fluorescent Dye,,NA,0,0,,,,,
SpectrumGreen,Fluorescent Dye,,NA,0,0,,,,,
SpectrumOrange,Fluorescent Dye,,NA,0,0,,,,,
SpectrumRed,Fluorescent Dye,,NA,0,0,,,,,
SquaryliumdyeIII,Fluorescent Dye,,NA,0,0,,,,,
StainsAll,Fluorescent Dye,,NA,0,0,,,,,
Stilbenderivate,Fluorescent Dye,,NA,0,0,,,,,
Stilbene,Fluorescent Dye,,NA,0,0,,,,,
Styryl8perchlorate,Fluorescent Dye,,NA,0,0,,,,,
Sulfo-Cyanine3carboxylicacid,Fluorescent Dye,,NA,0,0,,,,,
Sulfo-Cyanine3NHSester,Fluorescent Dye,,NA,0,0,,,,,
Sulfo-Cyanine5carboxylicacid,Fluorescent Dye,,NA,0,0,,,,,
sulforhodamine101,Fluorescent Dye,,NA,0,0,,,,,
SulforhodamineB,Fluorescent Dye,,NA,0,0,,,,,
SulforhodamineG,Fluorescent Dye,,NA,0,0,,,,,
SuncoastYellow,Fluorescent Dye,,NA,0,0,,,,,
SuperGloBFP,Fluorescent Dye,,NA,0,0,,,,,
SuperGloGFP,Fluorescent Dye,,NA,0,0,,,,,
SurfGreenEX,Fluorescent Dye,,NA,0,0,,,,,
SYBRGoldnucleicacidgelstain,Fluorescent Dye,,NA,0,0,,,,,
SYBRGreenI,Fluorescent Dye,,NA,0,0,,,,,
SYBRSafeDNAgelstain,Fluorescent Dye,,NA,0,0,,,,,
SYPRORuby,Fluorescent Dye,,NA,0,0,,,,,
SYTO9,Fluorescent Dye,,NA,0,0,,,,,
SYTO11,Fluorescent Dye,,NA,0,0,,,,,
SYTO13,Fluorescent Dye,,NA,0,0,,,,,
SYTO16,Fluorescent Dye,,NA,0,0,,,,,
SYTO17,Fluorescent Dye,,NA,0,0,,,,,
SYTO45,Fluorescent Dye,,NA,0,0,,,,,
SYTO59,Fluorescent Dye,,NA,0,0,,,,,
SYTO60,Fluorescent Dye,,NA,0,0,,,,,
SYTO61,Fluorescent Dye,,NA,0,0,,,,,
SYTO62,Fluorescent Dye,,NA,0,0,,,,,
SYTO82,Fluorescent Dye,,NA,0,0,,,,,
SYTORNASelect,Fluorescent Dye,,NA,0,0,,,,,
SYTOXBlue,Fluorescent Dye,,NA,0,0,,,,,
SYTOXGreen,Fluorescent Dye,,NA,0,0,,,,,
SYTOXOrange,Fluorescent Dye,,NA,0,0,,,,,
SYTOXRed,Fluorescent Dye,,NA,0,0,,,,,
Tb(Soini),Fluorescent Dye,,NA,0,0,,,,,
tCO,Fluorescent Dye,,NA,0,0,,,,,
Terrylen,Fluorescent Dye,,NA,0,0,,,,,
Terrylendiimid,Fluorescent Dye,,NA,0,0,,,,,
testdye,Fluorescent Dye,,NA,0,0,,,,,
Tetra-t-Butylazaporphine,Fluorescent Dye,,NA,0,0,,,,,
Tetra-t-Butylnaphthalocyanine,Fluorescent Dye,,NA,0,0,,,,,
Tetracen,Fluorescent Dye,,NA,0,0,,,,,
Tetrakis(o-Aminophenyl)Porphyrin,Fluorescent Dye,,NA,0,0,,,,,
Tetramesitylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
Tetramethylrhodamine,Fluorescent Dye,,NA,0,0,,,,,
Tetraphenylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
TexasRed-X,Fluorescent Dye,,NA,0,0,,,,,
TexasRed,Fluorescent Dye,,NA,0,0,,,,,
TexasRedDHPE,Fluorescent Dye,,NA,0,0,,,,,
ThiolTrackerViolet,Fluorescent Dye,,NA,0,0,,,,,
Thioninacetate,Fluorescent Dye,,NA,0,0,,,,,
TMRE,Fluorescent Dye,,NA,0,0,,,,,
TO-PRO-1,Fluorescent Dye,,NA,0,0,,,,,
TO-PRO-3,Fluorescent Dye,,NA,0,0,,,,,
Toluene,Fluorescent Dye,,NA,0,0,,,,,
TOTO-1,Fluorescent Dye,,NA,0,0,,,,,
TOTO-3,Fluorescent Dye,,NA,0,0,,,,,
"Tris(2,2-Bipyridyl)Ruthenium(II)chloride",Fluorescent Dye,,NA,0,0,,,,,
"Tris(4,4-diphenyl-2,2-bipyridine)ruthenium(II)chloride",Fluorescent Dye,,NA,0,0,,,,,
"Tris(4,7-diphenyl-1,10-phenanthroline)ruthenium(II)TMS",Fluorescent Dye,,NA,0,0,,,,,
TRITC(Weiss),Fluorescent Dye,,NA,0,0,,,,,
TRITCDextran(Weiss),Fluorescent Dye,,NA,0,0,,,,,
Tryptophan,Fluorescent Dye,,NA,0,0,,,,,
Tyrosine,Fluorescent Dye,,NA,0,0,,,,,
Vex1,Fluorescent Dye,,NA,0,0,,,,,
VybrantDyeCycleGreenstain,Fluorescent Dye,,NA,0,0,,,,,
VybrantDyeCycleOrangestain,Fluorescent Dye,,NA,0,0,,,,,
VybrantDyeCycleVioletstain,Fluorescent Dye,,NA,0,0,,,,,
WEGFP(post-activation),Fluorescent Dye,,NA,0,0,,,,,
WellREDD2,Fluorescent Dye,,NA,0,0,,,,,
WellREDD3,Fluorescent Dye,,NA,0,0,,,,,
WellREDD4,Fluorescent Dye,,NA,0,0,,,,,
X-rhod-1,Fluorescent Dye,,NA,0,0,,,,,
YakimaYellow,Fluorescent Dye,,NA,0,0,,,,,
YO-PRO-1,Fluorescent Dye,,NA,0,0,,,,,
YO-PRO-3,Fluorescent Dye,,NA,0,0,,,,,
YoYo-1,Fluorescent Dye,,NA,0,0,,,,,
YoYo-1dsDNA,Fluorescent Dye,,NA,0,0,,,,,
YoYo-1ssDNA,Fluorescent Dye,,NA,0,0,,,,,
YOYO-3,Fluorescent Dye,,NA,0,0,,,,,
ZincOctaethylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
ZincPhthalocyanine,Fluorescent Dye,,NA,0,0,,,,,
ZincTetramesitylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
ZincTetraphenylporphyrin,Fluorescent Dye,,NA,0,0,,,,,
iRFP713,Fluorescent Protein,,2,5,15,Addgene,$65 ,,,X
NirFP,Fluorescent Protein,,2,1,3,Addgene,$65 ,,,X
iRFP670,Fluorescent Protein,,2,13,37,Addgene,$65 ,,,X
iRFP682,Fluorescent Protein,,2,10,29,Addgene,$65 ,,,X
iRFP702,Fluorescent Protein,,2,7,22,Addgene,$65 ,,,X
iRFP720,Fluorescent Protein,,2,6,17,Addgene,$65 ,,,X
mNeptune,Fluorescent Protein,,1,9,25,Addgene,$65 ,,,
mPlum,Fluorescent Protein,,1,4,12,Addgene,$65 ,,,X
E2-Crimson,Fluorescent Protein,,3,20,59,Addgene,$65 ,,,X
mKate2,Fluorescent Protein,,1,15,45,Addgene,$65 ,,,X
mRuby2,Fluorescent Protein,,1,43,126,Addgene,$65 ,,,X
TagRFP-T,Fluorescent Protein,,1,33,98,Addgene,$65 ,,,X
Katushka2,Fluorescent Protein,,2,23,67,Evrogen,$480 ,,,X
mRaspberry,Fluorescent Protein,,1,13,37,Addgene,$65 ,,,X
mApple,Fluorescent Protein,,1,37,109,Addgene,$65 ,,,X
mScarlet,Fluorescent Protein,,1,70,206,Addgene,$65 ,,,X
LSS-mKate2,Fluorescent Protein,,1,4,13,Addgene,$65 ,,,
mKeima,Fluorescent Protein,,1,3,9,Addgene,$65 ,,,
J-Red,Fluorescent Protein,,2,9,26,Addgene,$65 ,,,X
mCherry,Fluorescent Protein,,1,16,47,Addgene,$65 ,,,X
LSS-mKate1,Fluorescent Protein,,1,2,7,Addgene,$65 ,,,
mRFP1,Fluorescent Protein,,1,15,44,Addgene,$65 ,,,X
mStrawberry,Fluorescent Protein,,1,27,78,Addgene,$65 ,,,X
Ds-Red-monomer,Fluorescent Protein,,1,3,10,Clontech,$589 ,,,
TagRFP,Fluorescent Protein,,1,50,146,Clontech,$589 ,,,X
DsRed-Express,Fluorescent Protein,,2,20,58,Clontech,$589 ,,,X
DsRed2,Fluorescent Protein,,2,60,176,Addgene,$65 ,,,X
tdTomato,Fluorescent Protein,,1,48,142,Addgene,$65 ,,,X
mOrange,Fluorescent Protein,,1,50,146,Addgene,$65 ,,,X
mKO,Fluorescent Protein,,1,31,92,Addgene,$65 ,,,X
Ypet,Fluorescent Protein,,1,81,238,Addgene,$65 ,,,
mCitrine,Fluorescent Protein,,1,59,174,Addgene,$65 ,,,X
Venus,Fluorescent Protein,,2,53,156,Addgene,$65 ,,,
Topaz,Fluorescent Protein,,1,57,169,Addgene,$65 ,,,X
EYFP,Fluorescent Protein,,2,51,151,Addgene,$65 ,,,X
TagYFP,Fluorescent Protein,,1,47,137,Evrogen,$400 ,,,X
T-Sapphire,Fluorescent Protein,,1,27,78,Addgene,$65 ,,,X
Emerald,Fluorescent Protein,,1,39,116,Addgene,$65 ,,,X
CopGFP,Fluorescent Protein,,3,43,126,Evrogen,$400 ,,,X
EGFP,Fluorescent Protein,,1,34,100,Addgene,$65 ,,,X
TagGFP2,Fluorescent Protein,,1,34,100,Evrogen,$400 ,,,X
AzamiGreen,Fluorescent Protein,,3,41,121,Addgene,$65 ,,,X
TagCFP,Fluorescent Protein,,1,29,84,Evrogen,$400 ,,,X
CyPet,Fluorescent Protein,,1,18,53,Addgene,$65 ,,,
ECFP,Fluorescent Protein,,2,13,39,Addgene,$65 ,,,X
mCFPm,Fluorescent Protein,,1,13,38,Addgene,$65 ,,,
Cerulean,Fluorescent Protein,,1,27,79,Addgene,$65 ,,,X
TagBFP,Fluorescent Protein,,1,36,105,Addgene,$65 ,,,X
EBFP2,Fluorescent Protein,,1,20,60,Addgene,$65 ,,,X
Azurite,Fluorescent Protein,,1,15,43,Addgene,$65 ,,,
Sirius,Fluorescent Protein,,1,4,12,Addgene,$65 ,,,
mAmetrine,Fluorescent Protein,,1,26,77,Addgene,$65 ,,,X
LSS-mOrange,Fluorescent Protein,,1,23,69,Addgene,$65 ,,,
AmCyan1,Fluorescent Protein,,2,62,182,Clontech,$589 ,,,X
AsRed2,Fluorescent Protein,,3,27,80,Clontech,$589 ,,,X
mAzamiGreen,Fluorescent Protein,,1,41,120,Clontech,$589 ,,,X
DsRed-Express2,Fluorescent Protein,,3,32,93,Clontech,$589 ,,,X
DsRed-ExpressT1,Fluorescent Protein,,3,,,Clontech,$589 ,,,X
E2-Orange,Fluorescent Protein,,2,20,58,Addgene,$65 ,,,X
E2-Red-Green,Fluorescent Protein,,2,36,106,Addgene,$65 ,,,X
KaedeGreen,Fluorescent Protein,,3,87,256,MBL,$65 ,,,X
KaedeRed,Fluorescent Protein,,3,20,59,MBL,$65 ,,,X
mBanana,Fluorescent Protein,,1,9,26,Clontech,$589 ,,,X
mHoneyDew,Fluorescent Protein,,1,,,Addgene,$65 ,,,X
mOrange2,Fluorescent Protein,,1,35,102,Addgene,$65 ,,,X
mTangerine,Fluorescent Protein,,1,11,34,Addgene,$65 ,,,X
ZsGreen1,Fluorescent Protein,,3,83,243,Clontech,$589 ,,,X
ZsYellow1,Fluorescent Protein,,3,28,81,Clontech,$589 ,,,X
