wl,abs
610,11.94605
611,11.15913
612,10.39618
613,9.68785
614,9.053714
615,8.453062
616,7.886943
617,7.346881
618,6.849931
619,6.385317
620,5.97093
621,5.551311
622,5.190293
623,4.838693
624,4.504881
625,4.209788
626,3.915741
627,3.65832
628,3.415548
629,3.172776
630,2.965583
631,2.763622
632,2.581543
633,2.406789
634,2.243546
635,2.102278
636,1.963103
637,1.842763
638,1.72347
639,1.608363
640,1.521509
641,1.410588
642,1.325827
643,1.256763
644,1.17828
645,1.097705
646,1.040047
647,0.9794585
648,0.9229513
649,0.8591191
650,0.8224941
651,0.7722654
652,0.7325011
653,0.6895974
654,0.6425081
655,0.6163474
656,0.5807687
657,0.5493758
658,0.5253079
659,0.5022865
660,0.4667078
661,0.4531042
662,0.4175256
663,0.3913649
664,0.3693898
665,0.3442755
666,0.3306719
667,0.3264862
668,0.3045112
669,0.291954
670,0.277304
671,0.2647468
672,0.2511432
673,0.2406789
674,0.2228896
675,0.209286
676,0.2082396
677,0.2051003
678,0.1820788
679,0.1768467
680,0.1674288
681,0.1496395
682,0.1454538
683,0.1423145
684,0.1360359
685,0.1318502
686,0.1213859
687,0.1182466
688,0.1161537
689,0.1130144
690,0.1035966
691,9.42E-02
692,9.52E-02
693,9.00E-02
694,8.89E-02
695,7.95E-02
696,7.33E-02
697,7.95E-02
698,7.43E-02
699,7.12E-02
700,6.27E-02
Data Copyright MP Inc.
