miRFP,Violet,E,miRFP703,Red,C,T-Sapphire,Violet,B,miRFP670,Red,B,Sirius,UV,A,mPlum,Yel/Grn,A,dKeima,Violet,C,vsfGFP-9,Blue,A,mKalama1,Violet,A,TagRFP-T,Yel/Grn,C,
miRFP703,Red,C,mNeptune681,Yel/Grn,E,miRFP670,Red,B,mKelly2,Yel/Grn,A,vsfGFP-0,Blue,A,Sirius,UV,A,mGarnet2,UV,C,dKeima,Violet,C,TagBFP,Violet,A,TagRFP-T,Yel/Grn,C,
eqFP670,Yel/Grn,D,miRFP670,Red,C,Sirius,UV,A,iRFP670,Red,B,mGarnet2,UV,C,vsfGFP-9,Blue,A,TagRFP,Yel/Grn,C,tKeima,Violet,C,mTagBFP2,Violet,A,mRaspberry,Yel/Grn,A,
mRuby,Yel/Grn,A,HcRed,UV,C,Sirius,UV,A,Sapphire,UV,B,mEmerald,Blue,A,mRuby3,Yel/Grn,C,dKeima,Violet,C,miRFP709,Red,C,TDsmURFP,Red,B,secBFP2,Violet,A,
mNeptune681,Yel/Grn,E,Sirius,UV,A,mKelly2,Yel/Grn,A,miRFP670,Red,B,mRuby3,Yel/Grn,C,mEGFP,Blue,A,dKeima,Violet,C,mGarnet2,UV,C,miRFP709,Red,C,secBFP2,Violet,A,
eqFP670,Yel/Grn,E,miRFP703,Red,C,smURFP,Red,B,Sirius,UV,A,AdRed-C148S,Yel/Grn,A,UnaG,Blue,A,mGarnet2,UV,C,tKeima,Violet,C,TDsmURFP,Yel/Grn,D,secBFP2,Violet,A,
miRFP670,Red,B,mKelly2,Yel/Grn,D,Sirius,UV,A,mPlum,Yel/Grn,A,UnaG,Blue,A,mGarnet,Yel/Grn,E,mGarnet2,UV,C,cgfTagRFP,Yel/Grn,C,tKeima,Violet,C,secBFP2,Violet,A,
mRuby2,Yel/Grn,A,Sirius,UV,A,smURFP,Red,B,mKate S158C,Yel/Grn,D,UnaG,Blue,A,iFP1.4,Violet,E,dTomato,Yel/Grn,C,mBeRFP,Violet,C,iRFP713,Red,C,mBlueberry2,Violet,A,
Sirius,UV,A,smURFP,Red,B,Sapphire,Violet,B,mEmerald,Blue,A,mGrape3,Yel/Grn,A,mGarnet2,UV,C,mKalama1,Violet,A,iRFP702,Red,C,tKeima,Violet,C,TagRFP-T,Yel/Grn,C,
pHuji,Yel/Grn,A,T-Sapphire,Violet,B,Sirius,UV,A,mKelly2,Yel/Grn,D,smURFP,Red,B,mRuby3,Yel/Grn,C,mKate S158A,UV,C,dKeima,Violet,C,vsfGFP-9,Blue,A,secBFP2,Violet,A,
mRuby2,Yel/Grn,C,HcRed,Yel/Grn,D,smURFP,Red,B,vsfGFP-0,Blue,A,Sirius,UV,A,Sapphire,Violet,B,iFP1.4,Red,C,mKelly1,Yel/Grn,A,tKeima,Violet,C,mTagBFP2,Violet,A,
mRuby2,Yel/Grn,C,miRFP703,Red,C,vsfGFP-0,Blue,A,Sirius,UV,A,mKelly2,Yel/Grn,D,Sapphire,Violet,B,HcRed7,Yel/Grn,A,dKeima,Violet,C,mKelly1,Yel/Grn,E,mKalama1,Violet,A,
miRFP,Violet,E,mNeptune681,Yel/Grn,D,miRFP703,Red,C,vsfGFP-0,Blue,A,miRFP670,Red,B,Sirius,UV,A,mRuby3,Yel/Grn,C,tKeima,Violet,C,secBFP2,Violet,A,mNeptune2.5,Yel/Grn,A,
mHoneydew,Blue,A,smURFP,Red,B,Sirius,UV,A,LSSmCherry1,Blue,B,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,A,mGarnet,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,D,TagBFP,Violet,A,
mRuby,Yel/Grn,A,eqFP650,Yel/Grn,E,Sirius,UV,A,smURFP,Red,B,mRuby3,Yel/Grn,C,iFP1.4,UV,C,AdRed,Yel/Grn,D,EGFP,Blue,A,tKeima,Violet,C,TagBFP,Violet,A,
TagRFP657,Red,C,Sirius,UV,A,Sapphire,Violet,B,Sandercyanin,UV,C,mGarnet,Yel/Grn,E,AzamiGreen,Blue,A,dKeima,Violet,C,TDsmURFP,Red,B,TagRFP-T,Yel/Grn,C,mNeptune2.5,Yel/Grn,D,
mRuby2,Yel/Grn,C,Sirius,UV,A,FusionRed,Yel/Grn,A,mScarlet-H,Yel/Grn,D,iFP1.4,Violet,E,dKeima,Violet,C,iRFP702,Red,C,TDsmURFP,Red,B,secBFP2,Violet,A,muGFP,Blue,A,
miRFP703,Red,C,Sirius,UV,A,vsfGFP-0,Blue,A,mPlum,Yel/Grn,A,mGarnet2,UV,C,dKeima,Violet,C,dTomato,Yel/Grn,C,miRFP709,Red,A,mKalama1,Violet,A,TDsmURFP,Red,B,
HcRed,UV,C,LSSmCherry1,Blue,B,mNeptune,Yel/Grn,E,Sirius,UV,A,AdRed-C148S,Yel/Grn,A,HcRed7,Yel/Grn,D,dKeima,Violet,C,vsfGFP-9,Blue,A,mKalama1,Violet,A,iRFP702,Red,C,
miRFP703,Red,C,mKelly2,Yel/Grn,E,Sirius,UV,A,LSSmCherry1,Blue,B,mKeima,Violet,C,tdTomato,Yel/Grn,C,iFP1.4,Violet,E,mGarnet,Yel/Grn,D,vsfGFP-9,Blue,A,mTagBFP2,Violet,A,
miRFP670,Red,B,Sirius,UV,A,mNeptune,Yel/Grn,A,mRuby3,Yel/Grn,C,mGarnet,Yel/Grn,E,mGarnet2,UV,C,dKeima,Violet,C,vsfGFP-9,Blue,A,miRFP720,Red,C,secBFP2,Violet,A,
mNeptune681,Yel/Grn,E,vsfGFP-0,Blue,A,miRFP670,Red,B,mKelly2,Yel/Grn,D,Sirius,UV,A,mRuby3,Yel/Grn,C,dKeima,Violet,D,mCarmine,UV,C,iRFP713,Red,C,secBFP2,Violet,A,
mNeptune681,Yel/Grn,E,miRFP670,Red,C,mMaroon1,UV,C,Sirius,UV,A,iRFP670,Red,B,mGarnet,Yel/Grn,D,vsfGFP-9,Blue,A,dTomato,Yel/Grn,C,mKalama1,Violet,A,tKeima,Violet,D,
mRuby,Yel/Grn,A,GFPmut3,Blue,A,Sirius,UV,A,smURFP,Red,B,mPlum,Yel/Grn,E,iFP1.4,Violet,E,mGinger1,Yel/Grn,D,miniSOG2,Violet,B,tKeima,Violet,C,cgfTagRFP,Yel/Grn,C,
mRuby,Yel/Grn,C,miRFP670,Red,B,Sirius,UV,A,HcRed7,Yel/Grn,D,mGarnet,Yel/Grn,E,vsfGFP-9,Blue,A,tKeima,Violet,C,iRFP702,Red,C,E2-Crimson,UV,C,mTagBFP2,Violet,A,
miRFP703,Red,C,mNeptune681,Yel/Grn,D,eqFP670,Yel/Grn,B,miRFP670,Red,B,Sirius,UV,A,mWasabi,Blue,A,mRuby3,Yel/Grn,C,mGarnet2,UV,C,miniSOG2,Violet,B,dKeima570,Violet,C,
Montipora sp. #20-9115,Violet,C,HcRed,UV,C,mKelly2,Yel/Grn,D,Sirius,UV,A,mRuby3,Yel/Grn,C,vsfGFP-9,Blue,A,AdRed,Yel/Grn,A,TDsmURFP,Red,B,SNIFP,Red,C,secBFP2,Violet,A,
pHuji,Yel/Grn,A,Sirius,UV,A,miRFP670,Red,B,vsfGFP-0,Blue,A,mKelly2,Yel/Grn,D,mKate,Yel/Grn,E,iFP1.4,Violet,E,LSS-mKate2,Violet,C,DsRed-Express2,Yel/Grn,C,mTagBFP2,Violet,A,
HcRed,UV,C,Sirius,UV,A,vsfGFP-0,Blue,A,HcRed7,Yel/Grn,D,DsRed-Max,Yel/Grn,A,mKalama1,Violet,A,iRFP713,Red,C,RDSmCherry1,Yel/Grn,E,tKeima,Violet,C,TagRFP-T,Yel/Grn,C,
miRFP,Violet,E,Neptune,Yel/Grn,A,miRFP670,Red,B,Sirius,UV,A,mGarnet2,Yel/Grn,D,dKeima,Violet,C,vsfGFP-9,Blue,A,iRFP702,Red,C,cgfTagRFP,Yel/Grn,C,mBlueberry2,Violet,A,
miRFP703,Red,C,mNeptune,Yel/Grn,D,Sirius,UV,A,ZsGreen,Blue,A,mKate S158A,UV,C,AdRed,Yel/Grn,A,DsRed-Express2,Yel/Grn,C,tKeima,Violet,C,mAmetrine,Violet,B,secBFP2,Violet,A,
miRFP,Violet,E,mNeptune681,Yel/Grn,E,miRFP703,Red,C,Sirius,UV,A,smURFP,Red,B,mRuby3,Yel/Grn,C,moxCerulean3,Violet,B,mGarnet2,Yel/Grn,D,dKeima,Violet,C,mAzamiGreen,Blue,A,
miRFP,Violet,E,Sirius,UV,A,miRFP670,Red,B,mGrape3,Yel/Grn,D,mRuby3,Yel/Grn,C,UnaG,Blue,A,mPlum,Yel/Grn,A,dKeima,Violet,C,mKalama1,Violet,A,miRFP670nano,Red,C,
miRFP,Red,C,Sirius,UV,A,mKelly2,Yel/Grn,D,vsfGFP-0,Blue,A,Sapphire,Violet,B,mRuby3,Yel/Grn,C,mPlum,Yel/Grn,E,dKeima,Violet,C,mKelly1,Yel/Grn,A,secBFP2,Violet,A,
LSSmCherry1,Blue,B,Sirius,UV,A,miRFP670,Red,B,mPlum,Yel/Grn,B,iFP1.4,Violet,E,mGinger2,Yel/Grn,D,eqFP611,Yel/Grn,A,dKeima,Violet,C,vsfGFP-9,Blue,A,TagBFP,Violet,A,
mNeptune681,Yel/Grn,E,Sirius,UV,A,vsfGFP-0,Blue,A,mKelly2,Yel/Grn,D,mRuby3,Yel/Grn,C,mGarnet,Red,B,dKeima,Violet,C,mGarnet2,UV,C,iRFP702,Red,C,secBFP2,Violet,A,
Sirius,UV,A,miRFP670,Red,B,mEmerald,Blue,A,mRuby3,Yel/Grn,A,HcRed7,Yel/Grn,D,iFP1.4,Violet,E,LSS-mKate2,Violet,C,mKalama1,Violet,A,cgfTagRFP,Yel/Grn,C,mRaspberry,Yel/Grn,E,
HcRed,UV,C,eqFP650,Yel/Grn,E,Sirius,UV,A,vsfGFP-0,Blue,A,mKate S158C,Yel/Grn,A,Sapphire,Violet,B,dKeima,Violet,C,DsRed-Max,Yel/Grn,C,mKalama1,Violet,A,miRFP670nano,Red,B,
miRFP,Violet,E,vsfGFP-0,Blue,A,mKelly2,Yel/Grn,D,miRFP670,Red,B,Sirius,UV,A,HcRed7,Yel/Grn,A,mGarnet2,Yel/Grn,E,dKeima,Violet,C,cgfTagRFP,Yel/Grn,C,secBFP2,Violet,A,
miRFP703,Red,C,HcRed,UV,C,eqFP650,Yel/Grn,E,Sirius,UV,A,AdRed-C148S,Yel/Grn,A,DsRed-Express,Blue,B,mKalama1,Violet,A,cgfTagRFP,Yel/Grn,C,tKeima,Violet,C,moxGFP,Blue,A,
miRFP,Violet,E,Sirius,UV,A,LSSmCherry1,Blue,B,smURFP,Red,B,mMaroon1,Yel/Grn,A,HcRed7,Yel/Grn,D,mEGFP,Blue,A,dKeima,Violet,C,cgfTagRFP,Yel/Grn,C,secBFP2,Violet,A,
miRFP,Violet,E,mNeptune681,Yel/Grn,E,Sirius,UV,A,vsfGFP-0,Blue,A,smURFP,Red,B,AdRed-C148S,Yel/Grn,C,mGarnet,Yel/Grn,D,dKeima,Violet,C,mCarmine,Red,C,mTagBFP2,Violet,A,
miRFP,Violet,E,mNeptune681,Yel/Grn,D,miRFP703,Red,C,Sirius,UV,A,mGrape3,Yel/Grn,A,tdTomato,Yel/Grn,C,mGarnet,Yel/Grn,E,dKeima,Violet,C,vsfGFP-9,Blue,A,secBFP2,Violet,A,
mStable,UV,C,Sirius,UV,A,mKelly2,Yel/Grn,D,vsfGFP-0,Blue,A,HcRed7,Yel/Grn,E,miRFP709,Red,C,cgfTagRFP,Yel/Grn,C,tKeima,Violet,C,RDSmCherry1,Yel/Grn,A,mBlueberry2,Violet,A,
Sirius,UV,A,UnaG,Blue,A,iRFP670,Red,B,iFP1.4,UV,C,mGinger1,Yel/Grn,E,mKelly1,Yel/Grn,D,AdRed,Yel/Grn,A,tKeima,Violet,C,mBlueberry2,Violet,A,TagRFP-T,Yel/Grn,C,
mRuby,Blue,B,mRuby2,Yel/Grn,A,Sirius,UV,A,iFP1.4,Violet,E,mEGFP,Blue,A,DsRed-Max,Yel/Grn,C,dKeima,Violet,C,mKalama1,Violet,A,iRFP702,Red,C,TDsmURFP,Red,B,
miRFP703,Red,C,Sirius,UV,A,AdRed-C148S,Yel/Grn,C,HcRed7,Yel/Grn,D,iFP1.4,Violet,E,mGarnet,Yel/Grn,E,oxGFP,Blue,A,tKeima,Violet,C,E2-Crimson,Red,B,mAmetrine,Violet,B,
mNeptune681,Yel/Grn,E,Sirius,UV,A,vsfGFP-0,Blue,A,smURFP,Red,B,Maroon0.1,Yel/Grn,D,HcRed7,Yel/Grn,A,iFP1.4,Violet,E,dKeima,Violet,D,mKalama1,Violet,A,cgfTagRFP,Yel/Grn,C,
mNeptune681,Yel/Grn,D,mKelly2,Yel/Grn,A,mMaroon1,UV,C,smURFP,Red,C,Sirius,UV,A,mRuby3,Yel/Grn,C,mKalama1,Violet,A,EGFP,Blue,A,tKeima,Violet,D,TDsmURFP,Red,B,
HcRed,UV,C,Sirius,UV,A,smURFP,Red,B,mKate S158C,Yel/Grn,D,mUkG,Blue,A,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,E,mGinger2,Yel/Grn,A,dKeima,Violet,C,miniSOG2,Violet,B,
pHuji,Yel/Grn,D,Sirius,UV,A,UnaG,Blue,A,tdTomato,Yel/Grn,C,iRFP670,Red,B,iFP1.4,Violet,E,miRFP709,Red,A,mBeRFP,Violet,C,mTagBFP2,Violet,A,TagRFP-T,Yel/Grn,A,
mRuby2,Yel/Grn,C,smURFP,Red,B,mScarlet-I,Blue,B,mKeima,Violet,D,UnaG,Blue,A,eqFP611,Yel/Grn,A,iFP1.4,Violet,E,mGinger2,Yel/Grn,D,SOPP,UV,B,TagBFP,Violet,A,
Sirius,UV,A,miRFP670,Red,B,mKate,Yel/Grn,A,mScarlet-H,Blue,B,iFP1.4,Violet,E,miRFP709,Red,C,miniSOG2,Violet,B,tKeima,Violet,C,mRaspberry,Yel/Grn,D,muGFP,Blue,A,
mRuby,Yel/Grn,A,ppluGFP2,Blue,A,Sirius,UV,A,Jred,Yel/Grn,E,mKeima,Violet,C,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,D,iFP1.4,Violet,E,miRFP670nano,Red,B,secBFP2,Violet,A,
HcRed,UV,C,vsfGFP-0,Blue,A,Sirius,UV,A,AdRed-C148S,Yel/Grn,C,dKeima,Violet,C,mScarlet,Yel/Grn,E,AdRed,Yel/Grn,A,iRFP713,Red,C,TDsmURFP,Red,B,mTagBFP2,Violet,A,
miRFP703,Red,C,HcRed,UV,C,mKelly2,Yel/Grn,D,Sirius,UV,A,mScarlet-I,Yel/Grn,C,AdRed-C148S,Yel/Grn,A,mOrange2,Blue,B,dKeima,Violet,C,vsfGFP-9,Blue,A,secBFP2,Violet,A,
miRFP703,Red,C,TagRFP657,Yel/Grn,E,T-Sapphire,Violet,B,Sirius,UV,A,mCardinal,Yel/Grn,A,BrUSLEE,Blue,A,mGarnet,Yel/Grn,D,dKeima,Violet,C,mGarnet2,UV,C,TagRFP,Yel/Grn,C,
miRFP,Violet,E,Sirius,UV,A,mMaroon1,Yel/Grn,D,TagGFP2,Blue,A,HcRed7,Yel/Grn,A,iRFP670,Red,B,mGarnet,Yel/Grn,E,dKeima,Violet,C,miniSOG2,Violet,B,cgfTagRFP,Yel/Grn,C,
miRFP,UV,C,mNeptune681,Yel/Grn,E,Sirius,UV,A,smURFP,Red,B,miRFP670,Red,A,AdRed-C148S,Yel/Grn,C,dKeima,Violet,C,mKelly1,Yel/Grn,D,vsfGFP-9,Blue,A,secBFP2,Violet,A,
miRFP,Violet,E,miRFP703,Red,C,mKelly2,Yel/Grn,D,Sirius,UV,A,mRuby3,Yel/Grn,C,mGrape3,Yel/Grn,E,mKeima,Violet,C,HcRed7,Yel/Grn,A,vsfGFP-9,Blue,A,TagBFP,Violet,A,
LSSmCherry1,Blue,C,Sirius,UV,A,miRFP670,Red,C,AdRed-C148S,Yel/Grn,A,mGinger2,Yel/Grn,D,vsfGFP-9,Blue,A,DsRed-Express,Yel/Grn,C,tKeima,Violet,C,secBFP2,Violet,A,mNeptune2.5,UV,C,
eqFP670,Yel/Grn,B,Sirius,UV,A,mMaroon1,UV,C,iRFP670,Red,B,mGarnet,Yel/Grn,E,vsfGFP-9,Blue,A,mKelly1,Yel/Grn,D,mKalama1,Violet,A,cgfTagRFP,Yel/Grn,C,tKeima,Violet,C,
miRFP703,Red,C,HcRed,UV,C,mBanana,Blue,B,vsfGFP-0,Blue,A,Sirius,UV,A,mGinger1,Yel/Grn,D,cgfTagRFP,Yel/Grn,A,tKeima,Violet,C,TagRFP-T,Yel/Grn,C,TagBFP,Violet,A,
Sirius,UV,A,mKelly2,Yel/Grn,D,Maroon0.1,Red,B,mGrape3,Yel/Grn,A,mGarnet2,UV,C,mKalama1,Violet,A,TagRFP,Yel/Grn,C,EGFP,Blue,A,tKeima,Violet,C,iRFP713,Red,C,
Neptune,Red,B,HcRed,Yel/Grn,E,Sirius,UV,A,Sapphire,Violet,B,tdTomato,Yel/Grn,C,iFP1.4,Red,C,EGFP,Blue,A,AdRed,Yel/Grn,D,tKeima,Violet,C,TagBFP,Violet,A,
mRFP1.2,Yel/Grn,A,HcRed,UV,C,Sirius,UV,A,miRFP670,Red,B,AdRed-C148S,Yel/Grn,C,mPlum,Yel/Grn,D,AzamiGreen,Blue,A,dKeima,Violet,C,miniSOG2,Violet,B,miRFP720,Red,A,
mRuby,Yel/Grn,A,mCyRFP1,Blue,B,Sirius,UV,A,vsfGFP-0,Blue,A,Sapphire,UV,B,mRuby3,Yel/Grn,C,mKeima,Violet,D,HcRed7,Red,B,iFP1.4,Red,C,secBFP2,Violet,A,
mNeptune681,Yel/Grn,E,smURFP,Red,B,Sirius,UV,A,mGarnet2,UV,C,vsfGFP-9,Blue,A,miRFP670nano,Yel/Grn,D,dKeima570,Violet,C,cgfTagRFP,Yel/Grn,C,SNIFP,Red,C,mTagBFP2,Violet,A,
Sirius,UV,A,vsfGFP-0,Blue,A,miRFP670,Red,B,AdRed-C148S,Yel/Grn,A,SuperNova Red,Blue,B,mRuby3,Yel/Grn,C,mKate,Yel/Grn,D,mKate S158A,UV,C,mKalama1,Violet,A,tKeima,Violet,C,
mRuby2,Yel/Grn,C,eqFP670,Yel/Grn,E,smURFP,Red,B,Sirius,UV,A,mKelly2,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,C,miniSOG2,Violet,B,Topaz,Blue,A,TDsmURFP,Red,A,
Sirius,UV,A,LSSmCherry1,Blue,B,mApple,UV,C,AdRed-C148S,Yel/Grn,A,UnaG,Blue,A,HcRed7,Yel/Grn,D,mPlum,Yel/Grn,E,dKeima,Violet,D,miRFP709,Red,C,mTagBFP2,Violet,A,
mNeptune681,Yel/Grn,E,Sirius,UV,A,mTurquoise,Violet,B,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,A,mGarnet,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,C,miRFP709,Red,C,mNeonGreen,Blue,A,
pHuji,Yel/Grn,D,mRuby2,Yel/Grn,A,Sirius,UV,A,AdRed-C148S,Blue,B,UnaG,Blue,A,iFP1.4,Violet,E,miRFP709,Red,C,miRFP670nano,Red,B,mBeRFP,Violet,D,secBFP2,Violet,A,
