Wavelength,EBFP2 (EX),EBFP2 (EM),mCitrine (AB),mCitrine (EM),DsRed (EX),DsRed (EM),mAmetrine (EX),mAmetrine (EM)
325,0.07915,,0.023,,,,0.03458,
326,0.08296,,0.023,,,,0.0362,
327,0.08675,,0.023,,,,0.03775,
328,0.09055,,0.024,,,,0.03935,
329,0.09446,,0.022,,,,0.04104,
330,0.09869,,0.022,,,,0.04299,
331,0.10347,,0.022,,,,0.04511,
332,0.10897,,0.022,,,,0.04759,
333,0.11532,,0.023,,,,0.05,
334,0.1226,,0.024,,,,0.05269,
335,0.13075,,0.022,,,,0.05572,
336,0.13964,,0.024,,,,0.05877,
337,0.149,,0.024,,,,0.06204,
338,0.15861,,0.024,,,,0.06566,
339,0.16835,,0.023,,,,0.06971,
340,0.17835,,0.025,,,,0.0743,
341,0.18902,,0.024,,,,0.07933,
342,0.20089,,0.025,,,,0.08495,
343,0.21447,,0.024,,,,0.09158,
344,0.22997,,0.025,,,,0.09813,
345,0.24713,,0.025,,,,0.10478,
346,0.26528,,0.025,,,,0.11192,
347,0.28358,,0.025,,,,0.11921,
348,0.30132,,0.023,,,,0.12728,
349,0.31821,,0.023,,,,0.13471,
350,0.33443,,0.022,,,,0.14379,
351,0.35055,,0.019,,,,0.15374,
352,0.3672,,0.022,,,,0.16428,
353,0.38491,,0.023,,,,0.17451,
354,0.40394,,0.023,,,,0.18802,
355,0.42454,,0.02,,,,0.20212,
356,0.44702,,0.019,,,,0.21767,
357,0.47203,,0.021,,,,0.23357,
358,0.50044,,0.021,,,,0.25169,
359,0.53292,,0.019,,,,0.27189,
360,0.56958,,0.022,,,,0.29247,
361,0.60956,,0.02,,,,0.31064,
362,0.65104,,0.019,,,,0.32834,
363,0.69161,,0.019,,,,0.34752,
364,0.72892,,0.019,,,,0.36575,
365,0.76129,,0.019,,,,0.38242,
366,0.78806,,0.017,,,,0.39746,
367,0.80957,,0.016,,,,0.41381,
368,0.82673,,0.017,,,,0.42961,
369,0.84059,,0.016,,,,0.44644,
370,0.85196,,0.015,,,,0.46251,
371,0.86148,,0.016,,,,0.4795,
372,0.86977,,0.015,,,,0.49809,
373,0.87768,,0.014,,,,0.51903,
374,0.88633,,0.014,,,,0.54157,
375,0.89683,,0.014,,,,0.5637,
376,0.90982,,0.014,,,,0.58435,
377,0.92511,,0.015,,,,0.60598,
378,0.94159,,0.014,,,,0.62515,
379,0.95762,,0.015,,,,0.64081,
380,0.97156,,0.014,,,,0.65788,
381,0.98247,,0.014,,,,0.67334,
382,0.99021,,0.014,,,,0.68794,
383,0.99536,,0.014,,,,0.70142,
384,0.99855,,0.014,,,,0.71602,
385,1,,0.014,,,,0.72995,
386,0.99918,,0.014,,,,0.74621,
387,0.99512,,0.015,,,,0.75986,
388,0.987,,0.015,,,,0.77784,
389,0.97473,,0.015,,,,0.79634,
390,0.9593,,0.015,,,,0.81481,
391,0.94246,,0.014,,,,0.83289,
392,0.92595,,0.015,,,,0.85371,
393,0.91075,,0.015,,,,0.87041,
394,0.89649,,0.015,,,,0.88588,
395,0.88162,,0.015,,,,0.89519,
396,0.86415,,0.015,,,,0.90401,
397,0.84259,,0.016,,,,0.91434,
398,0.81685,,0.016,,,,0.92369,
399,0.78843,,0.016,,,,0.93239,
400,0.75995,0.02508,0.016,,,,0.94616,
401,0.73417,0.02624,0.017,,,,0.95829,
402,0.71298,0.03451,0.017,,,,0.96831,
403,0.69664,0.04244,0.017,,,,0.97945,
404,0.68377,0.05617,0.017,,,,0.98802,
405,0.67184,0.06825,0.018,,,,0.99026,
406,0.65791,0.08885,0.018,,,,1,
407,0.63955,0.10863,0.018,,,,0.98511,
408,0.61524,0.13706,0.019,,,,0.97723,
409,0.58448,0.17296,0.019,,,,0.96609,
410,0.54767,0.20179,0.018,,,,0.95347,0.000112657
411,0.50569,0.24194,0.018,,,,0.94009,0.000168986
412,0.45977,0.28845,0.018,,,,0.92868,0.000168986
413,0.41136,0.32943,0.019,,,,0.91762,0.000168986
414,0.36203,0.37465,0.018,,,,0.90851,0.000168986
415,0.31355,0.40846,0.019,,,,0.90179,0.000168986
416,0.2676,0.44625,0.019,,,,0.89807,0.000168986
417,0.22572,0.49021,0.019,,,,0.89572,0.000168986
418,0.18892,0.52923,0.02,,,,0.89454,0.000225314
419,0.15764,0.56685,0.02,,,,0.89265,0.000281643
420,0.13165,0.59157,0.021,,,,0.88768,0.000281643
421,0.11029,0.61135,0.02,,,,0.87932,0.000337971
422,0.09265,0.63587,0.021,,,,0.86502,0.000337971
423,0.07789,0.64821,0.021,,,,0.84632,0.0003943
424,0.06529,0.65919,0.021,,,,0.81887,0.000450628
425,0.05441,0.66732,0.022,,,,0.78648,0.000450628
426,0.045,0.69204,0.022,,,,0.7521,0.000450628
427,0.03693,0.67528,0.022,,,,0.71734,0.000563285
428,0.03011,0.70149,0.023,,,,0.68093,0.000619614
429,0.02448,0.69399,0.023,,,,0.64575,0.000732271
430,0.01992,0.70096,0.024,,,,0.61299,0.000788599
431,0.01634,0.70109,0.024,,,,0.58079,0.000901256
432,0.0136,0.70229,0.024,,,,0.54837,0.000901256
433,0.01156,0.71758,0.025,,,,0.51466,0.00101
434,0.01005,0.74542,0.026,,,,0.47977,0.00113
435,0.00891,0.76546,0.027,,,,0.44612,0.00135
436,0.00799,0.76251,0.027,,,,0.41209,0.00135
437,0.00721,0.79934,0.028,,,,0.37814,0.00163
438,0.0065,0.81334,0.029,,,,0.34587,0.00169
439,0.00587,0.84303,0.031,,,,0.31466,0.00197
440,0.00531,0.88381,0.032,,,,0.2854,0.00203
441,0.00484,0.88268,0.034,,,,0.25769,0.00225
442,0.00444,0.89844,0.035,,,,0.23029,0.00248
443,0.00411,0.91636,0.037,,,,0.20581,0.0027
444,0.00381,0.93845,0.039,,,,0.18157,0.00282
445,0.00353,0.94346,0.04,,,,0.16018,0.00304
446,0.00328,0.96685,0.043,,,,0.14105,0.00315
447,0.00304,0.98079,0.046,,,,0.12275,0.00349
448,0.00284,1,0.048,,,,0.10616,0.00355
449,0.00265,0.96997,0.051,,,,0.09076,0.00366
450,0.00249,0.95269,0.054,,0.1186458,,0.07688,0.00389
451,0.00232,0.94224,0.057,,0.1227806,,0.06466,0.00389
452,0.00216,0.95275,0.061,,0.1280845,,0.05415,0.00417
453,0.002,0.92332,0.064,,0.1324125,,0.04539,0.00422
454,0.00187,0.91991,0.066,,0.1368355,,0.03824,0.00434
455,0.00179,0.89754,0.07,,0.1420295,,0.03194,0.00439
456,0.00174,0.88009,0.073,,0.1474354,,0.02686,0.00439
457,0.00174,0.86659,0.076,,0.1523941,,0.02238,0.00434
458,0.00177,0.83942,0.08,,0.156987,,0.01903,0.00428
459,0.00182,0.81125,0.084,,0.1622,,0.01622,0.00462
460,0.00189,0.80494,0.088,,0.1684377,,0.01366,0.00462
461,0.00197,0.78517,0.093,,0.1759329,,0.01152,0.00462
462,0.00207,0.75975,0.098,,0.1822611,,0.00952,0.00462
463,0.00219,0.75614,0.103,,0.185762,,0.00794,0.00468
464,0.0023,0.7434,0.108,,0.1909081,,0.00669,0.00451
465,0.00241,0.73056,0.115,,0.1972351,,0.00572,0.00445
466,0.00251,0.70654,0.121,,0.2100846,,0.00493,0.00451
467,0.00258,0.72057,0.128,,0.2172677,,0.00435,0.00468
468,,0.69326,0.136,,0.220707,,0.00388,0.00484
469,,0.6852,0.145,,0.227807,,0.00354,0.00473
470,,0.66977,0.155,,0.2348217,,0.00319,0.00462
471,,0.65906,0.166,,0.2408371,,0.00297,0.00484
472,,0.66954,0.178,,0.2507091,,0.00278,0.00473
473,,0.64632,0.191,,0.258222,,0.00263,0.00484
474,,0.64519,0.206,,0.2646301,,0.00251,0.00484
475,,0.64993,0.22,,0.2737851,,0.00239,0.00473
476,,0.63026,0.235,,0.280252,,0.00231,0.00479
477,,0.61881,0.251,,0.2866881,,0.00229,0.00484
478,,0.61075,0.265,,0.2937617,,0.00226,0.00484
479,,0.60309,0.281,,0.300781,,0.00225,0.00501
480,,0.59794,0.294,,0.3076321,,0.00228,0.00501
481,,0.5854,0.307,,0.3115055,,0.00231,0.00524
482,,0.58686,0.318,,0.3172041,,0.00234,0.00513
483,,0.56473,0.327,,0.3215662,,0.00236,0.00513
484,,0.55036,0.335,0.002,0.326089,,0.00239,0.00529
485,,0.53922,0.341,0.002,0.3294132,0.0120113,0.00243,0.00535
486,,0.5216,0.347,0.002,0.3321277,0.01321718,0.00246,0.00552
487,,0.51646,0.351,0.002,0.3330888,0.01496179,0.00247,0.0058
488,,0.49326,0.354,0.002,0.3371239,0.01692971,0.00252,0.00591
489,,0.48029,0.358,0.003,0.3387559,0.01869665,0.00257,0.00625
490,,0.48285,0.362,0.003,0.3429846,0.02074273,0.00262,0.00665
491,,0.46218,0.367,0.003,0.349514,0.02292559,0.00263,0.00698
492,,0.45282,0.373,0.003,0.3533182,0.02488234,0.00263,0.00772
493,,0.42674,0.379,0.004,0.3565467,0.02712382,0.00267,0.00839
494,,0.42588,0.388,0.005,0.3602087,0.02964443,0.00276,0.00929
495,,0.41019,0.398,0.005,0.3678736,0.03154536,0.00277,0.01065
496,,0.40109,0.409,0.006,0.3736607,0.03368077,0.00282,0.01177
497,,0.40936,0.422,0.008,0.3810813,0.03513787,0.0029,0.01408
498,,0.38971,0.438,0.009,0.3895141,0.03689085,0.00301,0.01656
499,,0.37571,0.456,0.011,0.397801,0.03799903,0.00309,0.01921
500,,0.36374,0.476,0.014,0.4096009,0.03807998,0.00319,0.02355
501,,0.36214,0.5,0.017,0.4193375,0.03984413,0.00325,0.02935
502,,0.36214,0.527,0.02,0.4312219,0.03989437,0.00342,0.03408
503,,0.34041,0.557,0.026,0.4430127,0.04065642,0.00354,0.04309
504,,0.33185,0.592,0.032,0.4547238,0.04135706,0.00365,0.0543
505,,0.33726,0.629,0.04,0.4670944,0.04034937,0.00378,0.0659
506,,0.32459,0.671,0.05,0.4813282,0.03893972,0.00395,0.08472
507,,0.31403,0.715,0.064,0.4956718,0.03866896,0.00411,0.10083
508,,0.30435,0.761,0.079,0.5108128,0.0382028,0.00426,0.13136
509,,0.30348,0.809,0.1,0.5245551,0.03724257,0.00434,0.16251
510,,0.28839,0.855,0.123,0.5377816,0.03653355,0.00438,0.19602
511,,0.29051,0.899,0.153,0.552569,0.0349341,0.00441,0.23962
512,,0.28188,0.937,0.187,0.566245,0.03349654,0.0044,0.29961
513,,0.27216,0.969,0.227,0.5791072,0.0312411,0.00434,0.34372
514,,0.26838,0.99,0.272,0.590035,0.03054326,0.00423,0.41227
515,,0.2565,1,0.322,0.5997538,0.03007431,0.00411,0.48409
516,,0.25362,0.996,0.381,0.6110764,0.02805893,0.00389,0.57202
517,,0.2494,0.977,0.443,0.6189439,0.02782166,0.00372,0.63471
518,,0.24035,0.944,0.512,0.6261724,0.02561927,0.00346,0.69808
519,,0.24157,0.898,0.581,0.6346225,0.02486839,0.00318,0.78161
520,,0.22787,0.842,0.647,0.6407209,0.02432407,0.00288,0.84487
521,,0.21961,0.776,0.715,0.6447891,0.02297862,0.00258,0.89855
522,,0.21861,0.706,0.781,0.6491809,0.02211051,0.00226,0.93759
523,,0.21092,0.633,0.838,0.6524941,0.02141824,0.002,0.97933
524,,0.20524,0.562,0.89,0.6556746,0.0209158,0.00173,0.99189
525,,0.19715,0.492,0.931,0.6572194,0.02028774,0.00163,0.99493
526,,0.19708,0.426,0.966,0.661041,0.01976575,0.0015,1
527,,0.18597,0.366,0.987,0.6638288,0.01856546,0.0014,0.99448
528,,0.18092,0.31,0.999,0.6689101,0.01845938,,0.97093
529,,0.17704,0.262,1,0.6735181,0.01844822,,0.95556
530,,0.16981,0.22,1,0.6785523,0.01717256,,0.92052
531,,0.16984,0.182,0.983,0.6841877,0.01727863,,0.88154
532,,0.15813,0.15,0.962,0.6909187,0.01719489,,0.84797
533,,0.15564,0.123,0.941,0.6997514,0.01689342,,0.81271
534,,0.14944,0.101,0.91,0.7102904,0.01690738,,0.7561
535,,0.14668,0.082,0.878,0.7206086,0.01706369,,0.73745
536,,0.14326,0.067,0.847,0.7324111,0.01671477,,0.68771
537,,0.13942,0.055,0.813,0.7462828,0.01670361,,0.65482
538,,0.13679,0.045,0.778,0.7609553,0.01694087,,0.62604
539,,0.12946,0.037,0.743,0.7762409,0.01696879,,0.58582
540,,0.12495,0.031,0.71,0.7915329,0.01718372,,0.55951
541,,0.12326,0.026,0.681,0.8124864,0.01795693,,0.53884
542,,0.11825,0.021,0.65,0.8286774,0.01864082,,0.51749
543,,0.11344,0.018,0.621,0.8478535,0.01990811,,0.48888
544,,0.11108,0.015,0.595,0.8667336,0.02007559,,0.47457
545,,0.10922,0.013,0.568,0.885982,0.02147128,,0.45029
546,,0.1069,0.011,0.547,0.9063019,0.02336942,,0.4321
547,,0.10574,0.009,0.522,0.9236623,0.0251559,,0.42044
548,,0.10232,0.008,0.503,0.9414325,0.02772676,,0.40692
549,,0.09701,0.007,0.484,0.9563534,0.0303674,,0.38912
550,,0.09754,0.006,0.466,0.9691079,0.03376172,,0.38067
551,,0.09227,0.005,0.452,0.9812265,0.03799903,,0.36867
552,,0.08935,0.005,0.437,0.9920992,0.04269692,,0.35831
553,,0.08713,0.003,0.424,0.9975225,0.04933482,,0.35622
554,,0.08563,0.003,0.415,1,0.05560704,,0.34732
555,,0.08238,0.002,0.401,0.9991264,0.06436359,,0.34327
556,,0.08152,0.002,0.393,0.9961664,0.07334066,,0.33713
557,,0.08019,0.001,0.386,0.9853244,0.08448105,,0.33245
558,,0.07701,0.001,0.376,0.9721411,0.09684128,,0.33341
559,,0.07482,0.001,0.372,0.9550888,0.1113341,,0.32271
560,,0.07286,0.002,0.363,0.9358077,0.1274934,,0.31843
561,,0.06944,0.002,0.355,0.9106442,0.1478565,,0.31279
562,,0.06858,0.001,0.348,0.8804301,0.1683536,,0.3062
563,,0.06546,0.002,0.342,0.8499649,0.190894,,0.30265
564,,0.065,0.001,0.335,0.8156071,0.2185872,,0.29984
565,,0.06337,0.002,0.327,0.7809957,0.2437208,,0.29133
566,,0.06175,0.002,0.318,0.7427537,0.2747553,,0.28277
567,,0.06072,0.001,0.311,0.7046461,0.3085813,,0.27516
568,,0.05753,0.001,0.302,0.661103,0.3469348,,0.267
569,,0.0574,0.001,0.294,0.6200437,0.3838926,,0.25855
570,,0.05365,0.001,0.288,0.5786152,0.4233599,,0.25365
571,,0.05086,0.001,0.277,0.5391805,0.4589779,,0.24142
572,,0.05103,0.001,0.271,0.4986361,0.50376,,0.23303
573,,0.04808,0.001,0.26,0.4599577,0.5474395,,0.22543
574,,0.04642,0.001,0.25,0.4194328,0.5910464,,0.21641
575,,0.04705,0.001,0.243,0.3833058,0.6339554,,0.20712
576,,0.04466,0.002,0.236,0.3481615,0.6784528,,0.20171
577,,0.04426,0.002,0.223,0.3150983,0.7233605,,0.19163
578,,0.04267,0.001,0.215,0.2872557,0.7548277,,0.18335
579,,0.04167,0.002,0.209,0.2602921,0.7956293,,0.17749
580,,0.03945,0.002,0.199,0.2326173,0.8318139,,0.16865
581,,0.03656,0.002,0.191,0.2086417,0.8646572,,0.16166
582,,0.03743,0.001,0.184,0.1861693,0.8932409,,0.15372
583,,0.03607,0.001,0.176,0.166385,0.9226509,,0.14803
584,,0.0361,0.001,0.167,0.147416,0.941596,,0.13981
585,,0.03444,0.001,0.161,0.1305755,0.9593883,,0.13575
586,,0.03315,0.001,0.154,,0.9753884,,0.12972
587,,0.03334,0.002,0.148,,0.9840361,,0.12257
588,,0.03271,0.002,0.142,,0.9940711,,0.11767
589,,0.03112,0.001,0.135,,0.9973956,,0.11108
590,,0.02963,0.002,0.13,,0.9990733,,0.1077
591,,0.02913,0.002,0.124,,1,,0.101
592,,0.02784,0.002,0.119,,0.9899287,,0.09981
593,,0.02658,0.002,0.114,,0.9864534,,0.09429
594,,0.02621,0.002,0.109,,0.9784701,,0.09052
595,,0.02555,0.002,0.106,,0.966322,,0.08646
596,,0.02422,0.001,0.101,,0.9524098,,0.08432
597,,0.02346,0.001,0.097,,0.9371716,,0.08111
598,,0.02326,0.001,0.094,,0.923198,,0.07818
599,,0.022,0.001,0.089,,0.907865,,0.07593
600,,0.02183,0.002,0.087,,0.887996,,0.07266
601,,,0.001,0.084,,0.8736064,,0.06912
602,,,0.001,0.081,,0.850625,,0.06771
603,,,0.001,0.079,,0.8364085,,0.06528
604,,,0.002,0.074,,0.8179715,,0.06236
605,,,0.001,0.072,,0.8002685,,0.06168
606,,,0.001,0.072,,0.7837129,,0.05875
607,,,0.002,0.067,,0.7663561,,0.05762
608,,,0.002,0.065,,0.7478604,,0.05577
609,,,0.002,0.065,,0.7322343,,0.05374
610,,,0.003,0.062,,0.7167142,,0.05188
611,,,0.002,0.06,,0.6975737,,0.05064
612,,,0.002,0.057,,0.6805379,,0.04889
613,,,0.002,0.056,,0.668147,,0.04765
614,,,0.003,0.054,,0.6521692,,0.04602
615,,,0.002,0.053,,0.6347845,,0.04461
616,,,0.002,0.052,,0.6219609,,0.04309
617,,,0.002,0.051,,0.607655,,0.0414
618,,,0.002,0.048,,0.5951804,,0.04033
619,,,0.002,0.046,,0.579599,,0.03909
620,,,0.002,0.045,,0.567141,,0.03785
621,,,0.002,0.044,,0.552196,,0.03656
622,,,0.001,0.043,,0.545706,,0.03515
623,,,0.002,0.041,,0.5311518,,0.03425
624,,,0.001,0.04,,0.5153359,,0.0325
625,,,0.002,0.04,,0.5032129,,0.03194
626,,,0.002,0.037,,0.4903279,,0.03042
627,,,0.002,0.035,,0.4775462,,0.02991
628,,,0.002,0.036,,0.463232,,0.02816
629,,,0.002,0.034,,0.4486163,,0.02749
630,,,0.002,0.032,,0.4396337,,0.02636
631,,,0.002,0.032,,0.429152,,0.02546
632,,,0.003,0.03,,0.4141847,,0.02445
633,,,0.002,0.03,,0.4017546,,0.02343
634,,,0.002,0.028,,0.3905808,,0.02231
635,,,0.002,0.028,,0.3779135,,0.02152
636,,,0.002,0.027,,0.3671388,,0.02056
637,,,0.001,0.026,,0.3569698,,0.01983
638,,,0.001,0.025,,0.3421336,,0.01893
639,,,0.001,0.024,,0.3318111,,0.01853
640,,,0.001,0.023,,0.3189233,,0.01769
641,,,0.001,0.022,,0.3077522,,0.01724
642,,,0.002,0.022,,0.2987556,,0.01656
643,,,0.001,0.021,,0.2879837,,0.01583
644,,,0.002,0.021,,0.2742445,,0.01487
645,,,0.002,0.02,,0.266638,,0.01465
646,,,0.001,0.019,,0.2602402,,0.01442
647,,,0.002,0.019,,0.2500349,,0.01374
648,,,0.002,0.018,,0.2422218,,0.01307
649,,,0.002,0.017,,0.2328735,,0.01239
650,,,0.002,0.016,,0.2281002,,0.01239
651,,,0.002,0.017,,0.2211916,,0.01172
652,,,0.003,0.017,,0.2130101,,0.01127
653,,,0.002,0.016,,0.2070477,,0.01098
654,,,0.002,0.015,,0.2014621,,0.01082
655,,,0.002,0.015,,0.1928731,,0.0102
656,,,0.003,0.015,,0.1866762,,0.00997
657,,,0.002,0.014,,0.1810516,,0.00935
658,,,0.003,0.013,,0.1758205,,0.00929
659,,,0.002,0.013,,0.1693334,,0.00913
660,,,0.002,0.013,,0.1624275,,0.00862
661,,,0.002,0.012,,0.157805,,0.00817
662,,,0.003,0.012,,0.1526437,,0.00822
663,,,0.002,0.012,,0.1469437,,0.00805
664,,,0.002,0.011,,0.1418048,,0.00738
665,,,0.002,0.011,,0.1367524,,0.00727
666,,,0.003,0.011,,0.1322834,,0.00721
667,,,0.002,0.011,,0.1283587,,0.00704
668,,,0.002,0.011,,0.1232728,,0.00659
669,,,0.001,0.011,,0.1181758,,0.00648
670,,,0.003,0.011,,0.1127605,,0.00614
671,,,0.002,0.01,,0.1094304,,0.0062
672,,,0.003,0.01,,0.1059802,,0.00597
673,,,0.003,0.009,,0.1023961,,0.00575
674,,,0.003,0.01,,0.09724603,,0.00558
675,,,0.003,0.01,,0.09426204,,0.00546
676,,,0.002,0.01,,0.09099613,,0.00535
677,,,0.001,0.009,,0.0876381,,0.00513
678,,,,0.009,,0.08422425,,0.00479
679,,,0.001,0.009,,0.0802912,,0.00479
680,,,,0.009,,0.07676011,,0.00473
681,,,0.001,0.01,,0.0731676,,0.00417
682,,,,0.008,,0.07102382,,0.00451
683,,,0.001,0.008,,0.06839713,,0.00428
684,,,0.001,0.009,,0.06565042,,0.004
685,,,0.001,0.008,,0.06290928,,0.00389
686,,,0.001,0.009,,0.06071526,,0.00377
687,,,0.001,0.008,,0.0582114,,0.00366
688,,,0.001,0.008,,0.05501527,,0.00355
689,,,0.001,0.008,,0.05319529,,0.00344
690,,,0.001,0.008,,0.05084774,,0.00344
691,,,,0.007,,0.04863418,,0.00332
692,,,,0.008,,0.04626709,,0.00321
693,,,,0.008,,0.04523428,,0.0031
694,,,,0.008,,0.04241499,,0.00327
695,,,,0.007,,0.04069829,,0.00282
696,,,0.001,0.007,,0.03852101,,0.00299
697,,,0.002,0.007,,0.03742401,,0.0027
698,,,0.002,0.007,,0.03647215,,0.0027
699,,,0.002,0.007,,0.03402969,,0.00259
700,,,0.002,0.007,,0.03300246,,0.00242
701,,,,,,0.03096476,,
702,,,,,,0.02967514,,
703,,,,,,0.02904708,,
704,,,,,,0.02760673,,
705,,,,,,0.02634223,,
706,,,,,,0.0247986,,
707,,,,,,0.02401423,,
708,,,,,,0.02296467,,
709,,,,,,0.02226961,,
710,,,,,,0.02147407,,
711,,,,,,0.02087392,,
712,,,,,,0.01969596,,
713,,,,,,0.0184538,,
714,,,,,,0.01789273,,
715,,,,,,0.01704974,,
716,,,,,,0.01667569,,
717,,,,,,0.01552006,,
718,,,,,,0.01504274,,
719,,,,,,0.01469102,,
720,,,,,,0.01370288,,
721,,,,,,0.01297712,,
722,,,,,,0.01222344,,
723,,,,,,0.01211458,,
724,,,,,,0.01147815,,
725,,,,,,0.01073843,,
726,,,,,,0.01047883,,
727,,,,,,0.01016899,,
728,,,,,,0.00956047,,
729,,,,,,0.009016151,,
730,,,,,,0.008773301,,
731,,,,,,0.008259687,,
732,,,,,,0.008064291,,
733,,,,,,0.007866103,,
734,,,,,,0.007321784,,
735,,,,,,0.007067769,,
736,,,,,,0.006696516,,
737,,,,,,0.006333637,,
738,,,,,,0.005962383,,
739,,,,,,0.005605087,,
740,,,,,,0.005359446,,
741,,,,,,0.005351072,,
742,,,,,,0.005183589,,
743,,,,,,0.004876537,,
744,,,,,,0.004628105,,
745,,,,,,0.004575069,,
746,,,,,,0.004480162,,
747,,,,,,0.003944217,,
748,,,,,,0.004075412,,
749,,,,,,0.00370695,,
750,,,,,,0.003472474,,
751,,,,,,0.003360819,,
752,,,,,,0.00305935,,
753,,,,,,0.003131926,,
754,,,,,,0.003109595,,
755,,,,,,0.002785795,,
756,,,,,,0.002746716,,
757,,,,,,0.002422916,,
758,,,,,,0.002361506,,
759,,,,,,0.00226939,,
760,,,,,,0.00226939,,
761,,,,,,0.002129821,,
762,,,,,,0.002085159,,
763,,,,,,0.002079577,,
764,,,,,,0.001856266,,
765,,,,,,0.001906511,,
766,,,,,,0.001898137,,
767,,,,,,0.001725072,,
768,,,,,,0.001708323,,
769,,,,,,0.001666453,,
770,,,,,,0.001381732,,
771,,,,,,0.001493387,,
772,,,,,,0.001401272,,
773,,,,,,0.001286825,,
774,,,,,,0.001152839,,
775,,,,,,0.001258911,,
776,,,,,,0.001169587,,
777,,,,,,0.001161213,,
778,,,,,,0.000904406,,
779,,,,,,0.001069098,,
780,,,,,,0.001002105,,
781,,,,,,0.000909989,,
782,,,,,,0.00087091,,
783,,,,,,0.000854162,,
784,,,,,,0.000714593,,
785,,,,,,0.000887658,,
786,,,,,,0.000795543,,
787,,,,,,0.00072855,,
788,,,,,,0.000572232,,
789,,,,,,0.000803917,,
790,,,,,,0.000681096,,
791,,,,,,0.0006476,,
792,,,,,,0.000642017,,
793,,,,,,0.000586189,,
794,,,,,,0.000524779,,
795,,,,,,0.000558276,,
796,,,,,,0.000577815,,
797,,,,,,0.000468952,,
798,,,,,,0.000516405,,
799,,,,,,0.000474534,,
800,,,,,,0.000396376,,
800.94,,,,,,,,
802.02,,,,,,,,
802.97,,,,,,,,
804.05,,,,,,,,
805,,,,,,,,
805.94,,,,,,,,
807.02,,,,,,,,
807.97,,,,,,,,
809.05,,,,,,,,
810,,,,,,,,
810.95,,,,,,,,
812.05,,,,,,,,
813.01,,,,,,,,
813.97,,,,,,,,
815.06,,,,,,,,
816.02,,,,,,,,
816.98,,,,,,,,
817.94,,,,,,,,
819.04,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,,,,,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,,
828,,,,,,,,
829,,,,,,,,
830,,,,,,,,
831,,,,,,,,
832,,,,,,,,
833,,,,,,,,
834,,,,,,,,
835,,,,,,,,
836,,,,,,,,
837,,,,,,,,
838,,,,,,,,
839,,,,,,,,
840,,,,,,,,
841,,,,,,,,
842,,,,,,,,
843,,,,,,,,
844,,,,,,,,
845,,,,,,,,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,,,,,,,,
851,,,,,,,,
852,,,,,,,,
853,,,,,,,,
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,,
860,,,,,,,,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,,
864,,,,,,,,
865,,,,,,,,
866,,,,,,,,
867,,,,,,,,
868,,,,,,,,
869,,,,,,,,
870,,,,,,,,
871,,,,,,,,
872,,,,,,,,
873,,,,,,,,
874,,,,,,,,
875,,,,,,,,
876,,,,,,,,
877,,,,,,,,
878,,,,,,,,
