Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
348,0,0,0.9299,0,0.0615,0,0,0,0,0,0.051,0,0,0,0.046,0
349,0,0,0.9371,0,0.0612,0,0,0,0,0,0.049,0,0,0,0.046,0
350,0,0,0.9493,0,0.0626,0,0,0,0,0,0.047,0,0,0,0.047,0
351,0.0713,0,0.9669,0,0.0622,0,0,0,0,0,0.045,0,0,0,0.049,0
352,0.0661,0,0.9844,0,0.0652,0,0,0,0,0,0.043,0,0,0,0.05,0
353,0.0614,0,0.9951,0,0.0706,0,0,0,0,0,0.041,0,0,0,0.05,0
354,0.0585,0,1,0,0.0681,0,0,0,0,0,0.039,0,0,0,0.051,0
355,0.057,0,0.9966,0,0.0685,0,0,0,0,0,0.036,0,0,0,0.052,0
356,0.0555,0,0.9932,0,0.071,0,0,0,0,0,0.034,0,0,0,0.053,0
357,0.0543,0,0.9905,0,0.074,0,0,0,0,0,0.032,0,0,0,0.053,0
358,0.0543,0,0.9884,0,0.0759,0,0,0,0,0,0.03,0,0,0,0.055,0
359,0.0536,0,0.9864,0,0.0778,0,0,0,0,0,0.028,0,0,0,0.054,0
360,0.0526,0,0.9835,0,0.0785,0,0,0,0,0,0.026,0,0,0,0.054,0
361,0.051,0,0.9797,0,0.082,0,0,0,0,0,0.024,0,0,0,0.055,0
362,0.0495,0,0.9759,0,0.0828,0,0,0,0,0,0.022,0,0,0,0.056,0
363,0.0481,0,0.972,0,0.0852,0,0,0,0,0,0.02,0,0,0,0.055,0
364,0.0467,0,0.9681,0,0.0894,0,0,0,0,0,0.019,0,0,0,0.054,0
365,0.0453,0,0.9639,0,0.092,0,0,0,0,0,0.018,0,0,0,0.057,0
366,0.044,0,0.9597,0,0.095,0,0,0,0,0,0.017,0,0,0,0.057,0
367,0.0439,0,0.9554,0,0.0994,0,0,0,0,0,0.016,0,0,0,0.057,0
368,0.0422,0,0.9471,0,0.101,0,0,0,0,0,0.015,0,0,0,0.057,0
369,0.0406,0,0.9299,0,0.1063,0,0,0,0,0,0.015,0,0,0,0.057,0
370,0.0397,0,0.9127,0,0.1103,0,0,0,0,0,0.014,0,0,0,0.058,0
371,0.0382,0,0.8954,0,0.1156,0,0,0,0,0,0.013,0,0,0,0.058,0
372,0.0355,0,0.8905,0,0.1198,0,0,0,0,0,0.012,0,0,0,0.058,0
373,0.0338,0,0.8473,0,0.1248,0,0,0,0,0,0.012,0,0,0,0.058,0
374,0.0325,0,0.8129,0,0.1306,0,0,0,0,0,0.011,0,0,0,0.057,0
375,0.0296,0,0.7864,0,0.1374,0,0,0,0,0,0.01,0,0,0,0.057,0
376,0.0284,0,0.7477,0,0.1431,0,0,0,0,0,0.009,0,0,0,0.054,0
