Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
87,0,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
88,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
89,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
90,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
91,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
92,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
93,0,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
94,0,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
95,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
96,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
97,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
98,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
99,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
100,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
101,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
102,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
103,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
104,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
105,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
106,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
107,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
108,2,KO,Blue,A,Sirius,Violet,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
109,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
110,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
