Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
92,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
93,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
94,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
95,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
96,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
97,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
98,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
99,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
100,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
101,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
102,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
103,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
104,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
105,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
106,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
107,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
108,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
109,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
110,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
111,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
112,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
113,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
114,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
115,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
116,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
117,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
118,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
119,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
120,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
121,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
122,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
123,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
124,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
125,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
126,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
127,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
128,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
129,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
130,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
131,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
132,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
133,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
134,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
135,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
136,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
137,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
138,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
139,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
140,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
141,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
142,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
143,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
144,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
145,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
146,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
147,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
148,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
149,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
150,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
151,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
152,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
153,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
154,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
155,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
156,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
157,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
158,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
159,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
160,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
161,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
162,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
163,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
164,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
165,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
