Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
138,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
139,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
140,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
141,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
142,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
143,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
144,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
145,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
146,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
147,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
148,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
149,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
150,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
151,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
152,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
153,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
154,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
155,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
156,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
157,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
158,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
159,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
160,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
161,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
162,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
163,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
164,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
165,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
166,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
167,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
168,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
169,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
170,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
171,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
172,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
173,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
174,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
175,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
176,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
177,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
178,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
179,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
180,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
181,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
182,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
183,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
184,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
185,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
186,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
187,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
188,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
189,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
190,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
191,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
192,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
193,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
194,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
195,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
196,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
197,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
198,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
199,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
